question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
8ea2b862-a05f-4abb-8c7b-18e75eeece1b,aws_dea_mock_exam_dfa892,A data pipeline has multiple AWS Glue jobs that process different datasets but occasionally fail due to temporary issues like network connectivity or service throttling. The team wants to implement automated retry logic with exponential backoff. What approaches enable this? (Select TWO),"[""Configure Glue job retry attempts and timeout settings in job properties"",""Use AWS Step Functions workflow with built-in retry and backoff strategies"",""Implement try-catch blocks with custom retry logic in Glue job Python code"",""Enable AWS Glue workflow conditional triggers based on job failure events"",""Set up CloudWatch Events to detect job failures and trigger Lambda for restart""]",34,29,multiple,"**CORRECT ANSWERS: Options A, B (Indices 0, 1)**

AWS Glue jobs have built-in retry configuration where you can specify the number of retries and timeout values. AWS Step Functions provides declarative retry logic with configurable exponential backoff, max attempts, and error matching without custom code. Both solutions provide native support for automated retries with increasing delays between attempts.

✓ Why these options are correct:
• Each option independently meets the requirements
• Together they provide the complete solution
• All are essential for the scenario

**Why Other Options Are Incorrect:**

Option C (INCORRECT): This option only partially addresses the problem.

Option D (INCORRECT): This option doesn't provide a complete solution.

Option E (INCORRECT): This is not the best solution for this scenario.","[0,1]",null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
e8a8723e-b049-440b-91c5-7c741c3a2b00,mock_32_all_1775006410483,A data analytics team is struggling to find and understand the various datasets stored in their Amazon S3 data lake. Different departments upload data in various formats without consistent naming conventions or schema definitions. This has led to a 'data swamp' where data is difficult to use. The team needs to implement a solution to improve data discoverability and governance.,"[""Option A: Implement a strict naming convention for all S3 objects and require manual documentation for each dataset."",""Option B: Use Amazon Redshift as the central repository for all data, enforcing a unified schema for all incoming datasets."",""Option C: Deploy Amazon OpenSearch Service to index all S3 object names and allow full-text search for data discovery."",""Option D: Utilize AWS Glue Data Catalog, populated by AWS Glue crawlers, to centralize metadata and enable data discovery and schema definition for S3 datasets.""]",33,20,mcq,"Option D (correct) directly addresses the problem of a 'data swamp' and improves data discoverability and governance. AWS Glue Data Catalog provides a centralized metadata repository for all data assets in the data lake, including those in Amazon S3. AWS Glue crawlers automatically infer schemas and populate the catalog, making datasets discoverable and queryable by services like Amazon Athena. Option A (incorrect) is an anti-pattern (ap-2.2-001) as it relies on manual processes, which are prone to inconsistencies and do not scale, ultimately failing to prevent a 'data swamp'. Option B (incorrect) is an anti-pattern (ap-2.1-002) because Amazon Redshift is an OLAP data warehouse, not a data lake, and forcing all diverse datasets into a single relational schema is often impractical and inefficient for a data lake's purpose. Option C (incorrect) is designed for full-text search on indexed data, but it would only index object names, not infer schemas or provide comprehensive metadata for data governance and discoverability within a data lake context.",[3],null,null,m_33_2,null,2026-04-01 02:23:37.41059+00
1a957c80-eefc-4e61-bbda-de4b54c17798,aws_dea_mock_exam_dfa892,"A data engineering team monitors an Amazon EMR cluster that processes nightly batch jobs. Recently, job execution times have increased significantly. CloudWatch metrics show high disk I/O wait times but low CPU utilization. What actions can improve performance?","[""Increase the number of core nodes in the EMR cluster to distribute I/O load"",""Change EMR instance types to storage-optimized instances with higher I/O throughput"",""Optimize Spark job configuration for memory usage and reduce shuffle operations"",""Enable EMRFS consistent view for faster S3 reads""]",34,31,mcq,"**CORRECT ANSWER: Option B (Index 1)**

Storage-optimized instances (like I3 family) provide significantly higher local disk throughput with NVMe SSD storage, directly addressing the high disk I/O wait times

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
91294b33-e79e-4c60-a41e-a024ca2e0cdb,aws_dea_mock_exam_dfa892,A company collects application logs from 500 EC2 instances into Amazon CloudWatch Logs. The data engineering team needs to analyze these logs using SQL queries to identify error patterns and performance issues. The solution should minimize costs and require minimal infrastructure management. What approach enables SQL-based log analysis?,"[""Export CloudWatch Logs to S3 and query with Amazon Athena"",""Use CloudWatch Logs Insights for interactive log analytics and queries"",""Stream logs to Amazon Kinesis Data Analytics for SQL-based analysis"",""Export logs to Amazon Redshift for comprehensive log warehousing""]",34,32,mcq,"**CORRECT ANSWER: Option B (Index 1)**

CloudWatch Logs Insights provides a purpose-built, serverless interactive log analytics service with SQL-like query syntax directly against CloudWatch Logs without export or infrastructure

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
77434887-001a-4908-929b-70f3d86f44bf,aws_dea_mock_exam_dfa892,"A production data pipeline experiences periodic failures in an AWS Glue job that processes Apache Parquet files from S3. Error logs show ""AnalysisException: Unable to infer schema for Parquet. It must be specified manually."" This occurs randomly on some files but not others. What is the most likely root cause and solution?","[""Parquet files are corrupted; implement validation before processing and quarantine bad files"",""Schema evolution in source data creates incompatible Parquet files; use Glue schema registry for validation"",""Some Parquet files are empty or have zero rows; add pre-processing to filter empty files"",""Different Parquet files have conflicting schemas; enable schema merging in Glue job SparkContext""]",34,30,mcq,"**CORRECT ANSWER: Option A (Index 0)**

AWS Glue has account-level and regional service quotas for maximum DPUs

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option B (INCORRECT):
✗ While this service exists, it serves a different primary purpose
✗ Attempting to use this service would require significant workarounds
✗ The service lacks key features needed for this specific scenario
✗ Performance and cost would be suboptimal compared to the correct choice

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[0],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
8dc01adc-7c48-4eb9-86b6-0b4f1a264d7d,aws_dea_mock_exam_bk3457,"A production data pipeline experiences intermittent failures in an AWS Glue job with error message ""Insufficient resources to start Job."" The failures occur during peak business hours when multiple Glue jobs run concurrently. The AWS account has Glue DPU limits configured. What actions resolve this resource constraint?","[""Request AWS Support to increase Glue DPU service quota for the account"",""Implement job queuing using AWS Step Functions to serialize Glue job execution"",""Use AWS Glue workflows with conditional triggers to avoid concurrent job peaks"",""Optimize existing Glue jobs to use fewer DPUs, then distribute workload""]",34,29,mcq,"**CORRECT ANSWER: Option A (Index 0)**

AWS Glue has account-level and regional service quotas for maximum DPUs

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option B (INCORRECT):
✗ While this service exists, it serves a different primary purpose
✗ Attempting to use this service would require significant workarounds
✗ The service lacks key features needed for this specific scenario
✗ Performance and cost would be suboptimal compared to the correct choice

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[0],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
4ee12660-bbd0-41d3-98f7-96d430030a41,aws_dea_mock_exam_bk3457,"An AWS Glue job reading Parquet files from S3 fails with error ""Failed to read footer from file."" Investigation shows some Parquet files are 0 bytes due to upstream system issues. The job should skip corrupted files, log warnings, and continue processing valid files. How should error handling be implemented?","[""Configure Glue job to use error handling with try-except blocks around read operations"",""Enable Glue job continuous logging to CloudWatch and add file validation pre-processing step"",""Use Spark DataFrame reader option badRecordsPath to isolate problematic files"",""Implement custom Spark filter to validate file sizes before reading and skip empty files""]",34,30,mcq,"**CORRECT ANSWER: Option D (Index 3)**

Implementing a custom Spark filter that checks S3 object metadata (file size) before attempting to read files allows the job to skip empty or corrupted files

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option B (INCORRECT):
✗ While this service exists, it serves a different primary purpose
✗ Attempting to use this service would require significant workarounds
✗ The service lacks key features needed for this specific scenario
✗ Performance and cost would be suboptimal compared to the correct choice

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed",[3],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
49ee50fd-6e48-4418-a936-ab8f1d8eafb3,aws_dea_mock_exam_bk3457,"A data team notices their Amazon Redshift queries have slowed significantly. Investigation shows many temporary tables created during ETL processes are not being dropped, consuming disk space. Additionally, deleted rows from dimension tables are not being reclaimed. What Redshift maintenance operations address these issues?","[""Run ANALYZE to update table statistics and query planner information"",""Execute VACUUM DELETE to reclaim space from deleted rows and VACUUM SORT to re-sort tables"",""Use UNLOAD command to export data and reload into new tables"",""Enable automatic VACUUM and ANALYZE through Redshift cluster configuration""]",34,31,mcq,"**CORRECT ANSWER: Option B (Index 1)**

VACUUM DELETE reclaims space from rows marked for deletion, VACUUM SORT re-sorts rows according to sort keys (both improve query performance), and combining with ANALYZE updates table statistics

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
73dd3a56-4d3a-4dca-a8f9-1c2886bc8a88,aws_dea_mock_exam_bk3457,A data pipeline must monitor Amazon EMR cluster health and automatically terminate clusters that have been idle for over 30 minutes to reduce costs. The solution should detect when no Spark jobs are running and check application logs for errors before termination. What monitoring and automation approach implements this?,"[""Configure EMR auto-termination settings with idle timeout configuration"",""Use CloudWatch Events with Lambda function checking EMR metrics and terminating idle clusters"",""Implement EMR step to monitor cluster metrics and self-terminate when idle"",""Create custom CloudWatch alarms on EMR metrics triggering Lambda for cluster termination""]",34,32,mcq,"**CORRECT ANSWER: Option B (Index 1)**

CloudWatch Events (EventBridge) can trigger Lambda functions on schedule

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
18771a25-8220-4a35-9bac-264b9022b3b8,aws_dea_mock_exam_xm9821,Multiple AWS Glue jobs run concurrently during peak processing hours and frequently fail with error messages indicating insufficient DPU capacity. The AWS account has reached Glue DPU service quotas. The jobs are critical and cannot be serialized. What actions resolve this resource limitation?,"[""Optimize existing Glue jobs to use fewer DPUs through code improvements"",""Request AWS Support to increase Glue DPU service quota limits"",""Implement job queuing to serialize execution during peak periods"",""Migrate some Glue jobs to Amazon EMR to reduce Glue DPU usage""]",34,29,mcq,"**CORRECT ANSWER: Option B (Index 1)**

AWS Glue has service quotas limiting maximum concurrent DPUs per account and region

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_34_3,null,2026-03-11 01:41:54.116876+00
