id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_42_m_42_1_27,"Which service provides a dedicated network connection from your on-premises data center to AWS, offering consistent network performance and reduced network costs?","[""AWS Site-to-Site VPN, which establishes an encrypted tunnel over the public internet"",""AWS Direct Connect, which provides a dedicated private connection"",""AWS PrivateLink, which enables private connectivity to services in other VPCs"",""Amazon VPC, which is a logically isolated section of the AWS Cloud""]","Option B (correct) accurately describes AWS Direct Connect, which provides a dedicated, private network connection between your on-premises data center and AWS. This offers consistent network performance and can reduce data transfer costs. Option A describes AWS Site-to-Site VPN, which uses the public internet and thus has variable performance. Option C describes AWS PrivateLink, used for private service access within AWS, not dedicated on-premises connectivity. Option D describes Amazon VPC, which is the foundational network environment in AWS, not a connectivity service to on-premises.",2026-03-26 02:51:38.138393,quiz_domain42_9,2026-03-26 02:51:38.138393,2,mcq,null,null,[1],m_42_1,easy,false
q_42_m_42_1_28,What does AWS PrivateLink enable for secure service access?,"[""Securely access services in other VPCs without traversing the public internet"",""Manage DNS records for public and private domains with high availability"",""Establish a VPN connection over the public internet with dynamic routing"",""Distribute incoming application traffic across multiple targets in different Availability Zones""]","Option A (correct) accurately describes AWS PrivateLink's primary function: to provide private connectivity between VPCs, AWS services, and on-premises applications, without exposing data to the public internet. Option B describes Amazon Route 53. Option C describes AWS Site-to-Site VPN. Option D describes Elastic Load Balancing. These are all incorrect as they do not align with the purpose of AWS PrivateLink.",2026-03-26 02:51:38.138393,quiz_domain42_9,2026-03-26 02:51:38.138393,3,mcq,null,null,[0],m_42_1,easy,false
q_42_m_42_1_29,"Which service allows you to create a secure, encrypted connection between your on-premises network and AWS over the public internet?","[""AWS Direct Connect, which provides a dedicated private network connection"",""AWS PrivateLink, for private access to AWS services"",""AWS Site-to-Site VPN, which establishes an encrypted tunnel over the internet"",""AWS Global Accelerator, which improves application availability and performance""]","Option C (correct) describes AWS Site-to-Site VPN, which establishes an encrypted connection over the public internet between your on-premises network and an Amazon VPC. Option A describes AWS Direct Connect, which uses a dedicated private connection. Option B describes AWS PrivateLink, used for private service access within AWS. Option D describes AWS Global Accelerator, which optimizes traffic routing but doesn't establish the direct hybrid connection itself.",2026-03-26 02:51:38.138393,quiz_domain42_9,2026-03-26 02:51:38.138393,4,mcq,null,null,[2],m_42_1,easy,false
q_42_m_42_1_1,"A company needs to connect its on-premises data center to multiple VPCs in AWS, ensuring high bandwidth and low latency without traversing the public internet. What is the most suitable AWS service?","[""VPC Peering"",""AWS Site-to-Site VPN"",""AWS Direct Connect"",""Internet Gateway""]","AWS Direct Connect provides a dedicated private connection between your data center and AWS, offering high bandwidth and low latency.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,1,mcq,null,null,[2],m_42_1,medium,false
q_42_m_42_1_2,"When designing a multi-VPC architecture, how can an architect ensure transitive routing between spoke VPCs and a central hub VPC, while enabling connectivity to on-premises?","[""Implement VPC Peering between all spoke VPCs."",""Use a Transit Gateway."",""Configure individual Site-to-Site VPNs for each spoke VPC."",""Attach all VPCs to a single Virtual Private Gateway.""]",AWS Transit Gateway simplifies network architecture by enabling transitive routing between thousands of VPCs and on-premises networks.,2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,2,mcq,null,null,[1],m_42_1,medium,false
q_42_m_42_1_3,What is the primary purpose of Route 53 Resolver when establishing hybrid DNS resolution between an AWS VPC and on-premises DNS servers?,"[""To manage public DNS records for domains."",""To provide private IP addresses for EC2 instances."",""To forward DNS queries between VPCs and on-premises DNS servers."",""To encrypt DNS traffic between services.""]",Route 53 Resolver enables hybrid DNS resolution by forwarding DNS queries between VPCs and on-premises DNS servers.,2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,3,mcq,null,null,[2],m_42_1,medium,false
q_42_m_42_1_4,A Solutions Architect needs to restrict traffic between subnets within a VPC at a stateless level. Which AWS networking component should be primarily used?,"[""Security Groups"",""NACLs (Network Access Control Lists)"",""Route Tables"",""VPC Endpoints""]","NACLs are stateless firewalls that operate at the subnet level, allowing or denying traffic based on rules. Security Groups are stateful and operate at the instance level.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,4,mcq,null,null,[1],m_42_1,medium,false
q_42_m_42_1_5,"To minimize latency for users accessing an application deployed across multiple AWS Regions, what strategy should an architect prioritize for global network connectivity?","[""Using public internet gateways with enhanced routing."",""Deploying all resources in a single, central Region."",""Leveraging AWS Global Accelerator."",""Implementing highly available Direct Connect connections.""]",AWS Global Accelerator improves availability and performance by directing user traffic to the optimal endpoint over the AWS global network.,2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,5,mcq,null,null,[2],m_42_1,medium,false
q_42_m_42_4_1,A large enterprise wants to enforce mandatory security configurations across all new AWS accounts created within their organization using a prescriptive multi-account setup. Which service should be used?,"[""AWS Organizations with Service Control Policies (SCPs)."",""AWS Control Towers Account Factory."",""AWS IAM Identity Center with Permission Sets."",""AWS Resource Access Manager (RAM) for resource sharing.""]","AWS Control Tower provides a prescriptive multi-account AWS environment with automated account provisioning and applies baseline security controls and governance through its Account Factory, which uses SCPs under the hood.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,1,mcq,null,null,[1],m_42_4,medium,false
q_42_m_42_4_2,A company has a central VPC with shared services that needs to be accessible by applications in other accounts' VPCs. How can this shared VPC be efficiently extended?,"[""Using VPC Peering connections between all accounts."",""Leveraging AWS Resource Access Manager (RAM) for cross-account VPC sharing."",""Manually duplicating shared services in each account."",""Configuring Direct Connect from each account to the shared services account.""]","AWS Resource Access Manager (RAM) allows you to share AWS resources, such as subnets from a VPC, with other AWS accounts within your organization.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,2,mcq,null,null,[1],m_42_4,medium,false
q_42_m_42_4_3,How can an organization centralize logging and security events from multiple AWS accounts into a single security account for analysis and auditing and compliance?,"[""Configuring individual CloudWatch Alarms in each account."",""Using AWS Organizations to consolidate billing only."",""Setting up AWS CloudTrail and Amazon S3 buckets in a central logging account with cross-account access."",""Deploying a separate SIEM solution in each account.""]",AWS CloudTrail can be configured to aggregate logs from all accounts in an organization and deliver them to a central S3 bucket in a logging account.,2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,3,mcq,null,null,[2],m_42_4,medium,false
q_42_m_42_4_4,"A Solutions Architect needs to automate the creation of new AWS accounts, apply baseline security controls, and provision network. What is the most effective service?","[""AWS Organizations directly."",""AWS Control Towers Account Factory."",""AWS CloudFormation templates for manual deployment."",""AWS Service Catalog with pre-approved products.""]","AWS Control Tower's Account Factory automates the provisioning of new accounts, applying a pre-configured baseline of security controls and network configurations.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,4,mcq,null,null,[1],m_42_4,medium,false
q_42_m_42_4_5,"To accurately allocate AWS costs to different business units and projects within an organization, what is the most effective strategy for cost transparency?","[""Reviewing the consolidated billing report monthly."",""Using AWS Budgets for overall spend tracking."",""Implementing a comprehensive tagging strategy and using Cost Explorer."",""Creating separate AWS accounts for each project.""]",A robust tagging strategy combined with AWS Cost Explorer allows for detailed cost allocation and visibility across different business dimensions.,2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,5,mcq,null,null,[2],m_42_4,medium,false
q_42_m_42_3_1,A critical application requires an RTO of less than 15 minutes and an RPO of less than 1 hour. Which disaster recovery strategy is most appropriate for meeting these objectives?,"[""Backup and Restore"",""Pilot Light"",""Warm Standby"",""Multi-site Active/Active""]","Warm Standby typically achieves RTOs in minutes and RPOs in minutes, making it suitable for these requirements. Multi-site is even more aggressive but often more complex/costly.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,1,mcq,null,null,[2],m_42_3,medium,false
q_42_m_42_3_2,"An application stores critical documents in Amazon S3. What is the inherent durability provided by Amazon S3 for objects, ensuring minimal data loss?","[""99.9% durability"",""99.99% durability"",""99.999999999% (11 nines) durability"",""99.999% durability""]","Amazon S3 Standard is designed for 99.999999999% (11 nines) of durability, storing data across multiple devices and Availability Zones.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,2,mcq,null,null,[2],m_42_3,medium,false
q_42_m_42_3_3,How can an architect design a self-healing architecture for EC2 instances that automatically replaces unhealthy instances within an Auto Scaling group to ensure availability?,"[""Manually replacing instances when alarms are triggered."",""Configuring EC2 instance health checks and Auto Scaling group termination policies."",""Using AWS Systems Manager to patch and repair instances."",""Implementing AWS Lambda functions to restart instances.""]","Auto Scaling groups can be configured with health checks (EC2 and/or ELB) to automatically detect and replace unhealthy instances, ensuring application availability.",2025-11-19 03:53:20.321597,quiz_domain42_9,2025-11-19 03:53:20.321597,3,mcq,null,null,[1],m_42_3,medium,false
