id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_32_m_32_4_29,Which programming language is widely supported by AWS Glue ETL jobs for data transformation?,"[""Ruby, often used for web development."",""Python (PySpark), for distributed data processing."",""C#, primarily for Windows applications."",""Java, a general-purpose language for enterprise applications.""]","Option B (correct) states that Python (specifically PySpark) is widely supported by AWS Glue ETL jobs for distributed data processing. AWS Glue also supports Scala. Options A, C, and D are not the primary languages for AWS Glue ETL jobs.",2026-03-27 02:44:08.642044,quiz_domain32_7,2026-03-27 02:44:08.642044,4,mcq,null,null,[1],m_32_4,easy,false
q_32_m_32_4_30,What is the main goal of optimizing SQL queries in a data processing workflow?,"[""To increase data storage capacity in a database."",""To encrypt data at rest within the database system."",""To improve query performance and reduce execution time and resource consumption."",""To provision new database instances automatically.""]","Option C (correct) accurately describes the main goal of SQL query optimization: to enhance performance, reduce execution time, and minimize resource usage. Options A, B, and D are related to database management but not the primary objective of query optimization.",2026-03-27 02:44:08.642044,quiz_domain32_7,2026-03-27 02:44:08.642044,5,mcq,null,null,[2],m_32_4,easy,false
q_33_m_33_1_94,Order the steps to create a new Amazon MemoryDB for Redis cluster.,"[""Configure cluster settings (e.g., port, parameter group)"",""Specify the cluster name"",""Choose node type and count"",""Create a subnet group for the VPC""]","Creating an Amazon MemoryDB for Redis cluster starts with Option D (Create a subnet group for the VPC) to define network isolation. Then, Option B (Specify the cluster name) for identification. Next, Option C (Choose node type and count) to determine the cluster's capacity. Finally, Option A (Configure cluster settings) like port and parameter groups.",2026-03-27 02:45:01.482669,quiz_domain33_7,2026-03-27 02:45:01.482669,6,ordering,null,null,"[3,1,2,0]",m_33_1,easy,false
q_35_m_35_4_36,Which AWS service helps automate the collection of compliance evidence from various AWS services to simplify auditing processes?,"[""AWS Audit Manager"",""AWS CloudTrail"",""AWS Config"",""Amazon CloudWatch""]","Option A (AWS Audit Manager) is the correct service. AWS Audit Manager streamlines the process of collecting evidence from various AWS services, making it easier to prepare for audits and assess compliance against industry standards and regulations. Option B (AWS CloudTrail) records API calls. Option C (AWS Config) tracks resource configurations. Option D (Amazon CloudWatch) is a monitoring service.",2026-03-27 02:45:01.482669,quiz_domain35_7,2026-03-27 02:45:01.482669,96,mcq,null,null,[0],m_35_4,easy,false
q_32_m_32_4_31,Which AWS service allows defining cloud infrastructure using familiar programming languages like Python or TypeScript?,"[""AWS Cloud Development Kit (CDK), for infrastructure as code."",""AWS Data Pipeline, for scheduled data movement and transformation."",""AWS Glue DataBrew, for visual data preparation."",""Amazon Kinesis Data Streams, for real-time data streaming.""]",Option A (correct) identifies AWS Cloud Development Kit (CDK) as the service that enables defining cloud infrastructure using popular programming languages. Option B is a legacy orchestration service. Option C is for visual data preparation. Option D is for streaming data ingestion.,2026-03-27 02:44:08.642044,quiz_domain32_7,2026-03-27 02:44:08.642044,6,mcq,null,null,[0],m_32_4,easy,false
q_33_m_33_1_26,"Which AWS service is primarily designed for highly durable, scalable, and cost-effective object storage for unstructured data?","[""Amazon S3"",""Amazon RDS"",""Amazon Redshift"",""Amazon DynamoDB""]","Option A (Amazon S3) is the correct choice. It is an object storage service built to store and retrieve any amount of data from anywhere on the internet, offering high durability, availability, and scalability, making it ideal for unstructured data like data lakes. Option B (Amazon RDS) is a relational database service for structured data. Option C (Amazon Redshift) is a data warehouse for analytical queries. Option D (Amazon DynamoDB) is a NoSQL key-value and document database.",2026-03-27 02:44:08.642044,quiz_domain33_7,2026-03-27 02:44:08.642044,1,mcq,null,null,[0],m_33_1,easy,false
q_33_m_33_1_27,"A data engineer needs a fully managed, petabyte-scale data warehousing service optimized for complex analytical queries. Which AWS service should be chosen?","[""Amazon DynamoDB"",""Amazon Redshift"",""Amazon RDS"",""Amazon OpenSearch Service""]","Option B (Amazon Redshift) is the correct service. It is a fully managed, columnar data warehouse service designed for large-scale analytical processing (OLAP) and complex queries over petabytes of data. Option A (Amazon DynamoDB) is a NoSQL database for key-value and document workloads. Option C (Amazon RDS) is for transactional relational databases (OLTP). Option D (Amazon OpenSearch Service) is for full-text search and log analytics.",2026-03-27 02:44:08.642044,quiz_domain33_7,2026-03-27 02:44:08.642044,2,mcq,null,null,[1],m_33_1,easy,false
q_33_m_33_1_28,Which AWS service is best suited for traditional relational database workloads requiring ACID transactions and structured data storage?,"[""Amazon DynamoDB"",""Amazon S3"",""Amazon RDS"",""Amazon Redshift""]","Option C (Amazon RDS) is the correct answer. Amazon RDS (Relational Database Service) provides managed relational databases, supporting various engines like MySQL, PostgreSQL, and SQL Server, which are ideal for online transactional processing (OLTP) workloads requiring ACID compliance. Option A (Amazon DynamoDB) is a NoSQL database. Option B (Amazon S3) is object storage. Option D (Amazon Redshift) is an analytical data warehouse.",2026-03-27 02:44:08.642044,quiz_domain33_7,2026-03-27 02:44:08.642044,3,mcq,null,null,[2],m_33_1,easy,false
q_33_m_33_1_29,"For applications requiring high-performance, low-latency access to non-relational data with flexible schema, which AWS database service is most appropriate?","[""Amazon Redshift"",""Amazon RDS"",""Amazon S3"",""Amazon DynamoDB""]","Option D (Amazon DynamoDB) is the correct choice. Amazon DynamoDB is a fast, flexible NoSQL database service for all applications that need consistent, single-digit millisecond latency at any scale. It supports key-value and document data models, making it suitable for non-relational data with flexible schemas. Option A (Amazon Redshift) is an OLAP data warehouse. Option B (Amazon RDS) is for relational OLTP. Option C (Amazon S3) is object storage.",2026-03-27 02:44:08.642044,quiz_domain33_7,2026-03-27 02:44:08.642044,4,mcq,null,null,[3],m_33_1,easy,false
q_33_m_33_1_30,"Which AWS service is designed for full-text search, real-time application monitoring, and log analytics?","[""Amazon OpenSearch Service"",""Amazon DynamoDB"",""Amazon RDS"",""Amazon S3""]","Option A (Amazon OpenSearch Service) is the correct answer. It is a managed service that makes it easy to deploy, operate, and scale OpenSearch clusters, which are widely used for log analytics, full-text search, and real-time application monitoring. Option B (Amazon DynamoDB) is a NoSQL database. Option C (Amazon RDS) is a relational database. Option D (Amazon S3) is object storage.",2026-03-27 02:44:08.642044,quiz_domain33_7,2026-03-27 02:44:08.642044,5,mcq,null,null,[0],m_33_1,easy,false
