id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_64_m_64_1_1,A GenAI solution architect is designing a new customer service chatbot. How should they validate the technical feasibility of integrating a large language model (LLM) with existing enterprise systems?,"[""By immediately deploying a full-scale production system for testing."",""By conducting a proof-of-concept (PoC) using a representative dataset and API stubs."",""By relying solely on the LLM provider marketing materials and documentation."",""By implementing only a small, isolated component of the solution first.""]","Validating feasibility through proof-of-concepts (PoC) is crucial for complex GenAI integrations before full-scale development, as per the module description.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,1,mcq,null,null,[1],m_64_1,medium,false
q_64_m_64_1_2,"When designing a GenAI solution on AWS, which framework provides best practices for operational excellence, security, reliability, performance efficiency, and cost optimization?","[""Agile Development Framework"",""Scrum Methodology"",""AWS Well-Architected Framework"",""ITIL Service Management""]","The AWS Well-Architected Framework, along with the Generative AI Lens, provides prescriptive guidance for building secure, high-performing, resilient, and efficient infrastructure for GenAI.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,2,mcq,null,null,[2],m_64_1,medium,false
q_64_m_64_1_3,"A developer needs to create reusable, standardized components for a GenAI architecture. Which design principle is most important to ensure these components are easily integrated and maintained across different projects?","[""Maximizing tight coupling between components."",""Minimizing documentation for quick iteration."",""Adhering to modularity and clear API contracts."",""Using unique, project-specific deployment methods.""]","Creating reusable, standardized components requires adherence to modularity and well-defined interfaces (API contracts) for easy integration and maintenance.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,3,mcq,null,null,[2],m_64_1,medium,false
q_64_m_64_1_4,A GenAI solution requires highly scalable vector embeddings storage for a RAG system. What is a key consideration when designing the architecture for this storage to align with business constraints?,"[""Prioritizing the lowest possible latency regardless of cost."",""Selecting a solution that offers sufficient capacity and performance at a justifiable cost."",""Choosing a non-relational database for all data types."",""Avoiding any form of distributed storage for simplicity.""]","Designing comprehensive GenAI architectures involves aligning with business and technical constraints, which includes balancing performance, capacity, and cost for scalable components like vector stores.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,4,mcq,null,null,[1],m_64_1,medium,false
q_64_m_64_4_1,"A GenAI application requires a vector store for real-time RAG, demanding high throughput and low-latency queries, with existing PostgreSQL data. Which AWS service combination is most suitable?","[""Amazon S3 for vector storage and AWS Lambda for search."",""Amazon Aurora PostgreSQL with pgvector extension."",""Amazon DynamoDB for vectors and Amazon Kinesis for indexing."",""AWS Glue Data Catalog for vector indexing.""]","Amazon Aurora PostgreSQL with the pgvector extension is explicitly mentioned for scalable, high-performance vector databases and integrates well with existing PostgreSQL data.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,1,mcq,null,null,[1],m_64_4,medium,false
q_64_m_64_4_2,"To enrich vector search results, a GenAI developer needs to store additional attributes like author, creation date, and source URL alongside embeddings. How should this be handled in a vector store solution?","[""Store metadata separately in a flat file and join post-retrieval."",""Embed all metadata directly into the vector, increasing its dimensionality."",""Utilize rich metadata capabilities offered by vector stores for filtering and faceting."",""Ignore metadata as it complicates vector similarity search.""]","Vector database solutions support rich metadata, allowing developers to store additional attributes alongside embeddings for more refined filtering and context.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,2,mcq,null,null,[2],m_64_4,medium,false
q_68_m_68_1_17,A development team wants to compare the performance of two different versions of a GenAI model in a real-world setting with user interaction. Which evaluation method is best suited for this comparison?,"[""Human feedback loops"",""LLM-as-a-judge"",""Automated quality gates"",""A/B testing""]",A/B testing allows comparing two versions of a system by exposing different user groups to each version and measuring their responses.,2025-11-27 14:33:23.421033,quiz_domain68_14,2025-11-27 14:33:23.421033,17,mcq,null,null,[3],m_68_1,medium,false
q_64_m_64_4_3,"An organization needs a fully managed, serverless vector store for RAG with seamless integration to Amazon Bedrock FMs. Which service best fits this requirement?","[""Self-managed OpenSearch on EC2."",""Amazon DynamoDB with custom vector search logic."",""Amazon Bedrock Knowledge Bases."",""Amazon ElastiCache for Redis.""]","Amazon Bedrock Knowledge Bases provide a fully managed vector store solution, designed for seamless integration with Amazon Bedrock FMs for RAG workflows.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,3,mcq,null,null,[2],m_64_4,medium,false
q_64_m_64_4_4,"For frequently updated source documents, a GenAI developer needs to ensure that the vector store remains synchronized with the latest content. What is a recommended mechanism for this?","[""Manually rebuilding the entire vector index weekly."",""Implementing automated sync mechanisms, such as change data capture (CDC) or scheduled batch updates."",""Relying on users to report outdated information."",""Storing only static documents in the vector store.""]","Automated sync mechanisms (e.g., CDC or scheduled batch updates) are essential for keeping vector stores updated with the latest source content.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,4,mcq,null,null,[1],m_64_4,medium,false
q_64_m_64_5_1,"In a Retrieval Augmented Generation (RAG) workflow, what is the primary purpose of 'document chunking' before embedding?","[""To reduce the total number of documents in the corpus."",""To fit document sections within the embedding model input token limit and improve relevance."",""To encrypt sensitive information within documents."",""To convert documents into a different language for the FM.""]","Document chunking breaks down large documents into smaller, manageable pieces to ensure they fit within the embedding model's context window and can be retrieved more precisely.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,1,mcq,null,null,[1],m_64_5,medium,false
q_64_m_64_5_2,A GenAI application requires semantic search capabilities to retrieve relevant information for RAG. Which type of model is used to convert text into numerical representations for similarity comparison?,"[""Generative text models (e.g., LLMs)"",""Classification models"",""Embedding models (e.g., Amazon Titan Embeddings)"",""Image recognition models""]","Embedding models like Amazon Titan convert text into high-dimensional numerical vectors, allowing for semantic similarity searches in vector stores.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,2,mcq,null,null,[2],m_64_5,medium,false
q_64_m_64_5_3,"After an initial vector search retrieves a set of potentially relevant documents, what is the benefit of applying a 'reranking' mechanism in a RAG pipeline?","[""To generate a summary of all retrieved documents."",""To convert the search query into a vector embedding."",""To improve the relevance ordering of retrieved documents based on deeper semantic understanding."",""To reduce the computational cost of the initial vector search.""]","Reranking mechanisms refine the initial search results by applying more sophisticated models to score and reorder documents, improving their relevance to the user's query.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,3,mcq,null,null,[2],m_64_5,medium,false
q_64_m_64_5_4,"To handle complex user queries that might span multiple concepts, a GenAI developer implements 'query decomposition'. What is the primary goal of this technique?","[""To shorten the original query for faster processing."",""To break down a complex query into simpler, more specific sub-queries for better retrieval."",""To translate the query into a different language."",""To generate an answer directly without retrieval.""]","Query decomposition breaks down complex, multi-faceted queries into simpler, more granular questions, allowing the retrieval system to find more precise and relevant information for each part.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,4,mcq,null,null,[1],m_64_5,medium,false
q_64_m_64_3_1,"A GenAI application processes customer reviews. To ensure the input quality for the FM, which AWS service can identify and redact Personally Identifiable Information (PII) before it reaches the model?","[""Amazon S3"",""AWS Step Functions"",""Amazon Comprehend"",""Amazon CloudWatch""]","Amazon Comprehend can be used to identify and redact sensitive information like PII, helping to enhance input quality and comply with data privacy requirements.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,1,mcq,null,null,[2],m_64_3,medium,false
q_64_m_64_3_2,A developer is building a pipeline to prepare unstructured text documents for a GenAI model. What is a key consideration for formatting inputs according to model requirements?,"[""Ensuring all documents are converted to image format."",""Strictly adhering to the model specified input structure, token limits, and special tokens."",""Ignoring text encoding and character sets for simplicity."",""Feeding raw, unprocessed text directly to the model.""]","Formatting inputs according to model requirements is crucial and involves adhering to its specified structure, token limits, and special tokens for optimal performance.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,2,mcq,null,null,[1],m_64_3,medium,false
q_64_m_64_3_3,"For a GenAI model consuming tabular financial data, how can a developer implement data quality workflows to catch anomalies and ensure data integrity before model ingestion?","[""Manually reviewing all data points before each run."",""Using AWS Glue Data Quality to define rules, validate, and monitor data."",""Storing data exclusively in Amazon S3 without any validation."",""Passing raw data directly to the model, relying on its robustness.""]","AWS Glue Data Quality allows developers to define rules and monitor data quality, which is essential for ensuring data integrity before FM consumption, especially for tabular data.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,3,mcq,null,null,[1],m_64_3,medium,false
q_64_m_64_3_4,"A GenAI solution needs to process multimodal inputs, specifically converting spoken audio into text for an LLM. Which AWS service is best suited for the audio processing step?","[""Amazon Rekognition"",""Amazon Transcribe"",""Amazon Polly"",""Amazon Textract""]","Amazon Transcribe is specifically designed to convert speech to text, making it suitable for processing audio data in multimodal pipelines for FM consumption.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,4,mcq,null,null,[1],m_64_3,medium,false
q_64_m_64_6_1,"A developer wants to ensure a GenAI application consistently produces a specific structure of output (e.g., JSON) from an FM. Which prompt engineering technique is most effective for this?","[""Using a simple, open-ended question."",""Employing zero-shot prompting without context."",""Providing clear instructions within the prompt for structured output and examples."",""Relying on the FM default behavior, hoping for the desired format.""]","Providing clear instructions for structured output within the prompt is a key prompt engineering strategy for achieving consistent and predictable FM responses, as mentioned in 'structured output' techniques.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,1,mcq,null,null,[2],m_64_6,medium,false
q_64_m_64_6_2,"To maintain context and allow for multi-turn conversations in a GenAI chatbot, what mechanism is essential for effective FM interactions?","[""Resetting the conversation state after each user input."",""Ignoring previous user queries and model responses."",""Implementing a mechanism to maintain and pass conversation state to the FM."",""Using only single-shot prompts without any history.""]","Maintaining conversation state is crucial for multi-turn interactions, allowing the FM to understand the context of previous exchanges and respond coherently.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,2,mcq,null,null,[2],m_64_6,medium,false
q_64_m_64_6_3,"An organization needs to enforce safety policies, detect harmful content, and prevent prompt injection in GenAI applications. Which Amazon Bedrock feature is designed for this governance?","[""Bedrock Model Customization"",""Bedrock Knowledge Bases"",""Bedrock Guardrails"",""Bedrock Model Benchmarking""]","Amazon Bedrock Guardrails are specifically designed to enforce safety policies and apply content filters to FM interactions, ensuring governance.",2025-11-27 01:45:53.323923,quiz_domain64_14,2025-11-27 01:45:53.323923,3,mcq,null,null,[2],m_64_6,medium,false
