id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_63_m_63_1_51,A startup needs to run an Amazon EC2 instance for an unpredictable workload that might stop and start frequently. Which pricing model offers the most flexibility without long-term commitments?,"[""On-Demand Instances"",""Reserved Instances"",""Spot Instances"",""Savings Plans""]","Option A (On-Demand Instances) provides the most flexibility, allowing you to pay by the second or hour with no long-term commitment, which is ideal for unpredictable workloads. Option B (Reserved Instances) and Option D (Savings Plans) require a 1- or 3-year commitment for significant discounts, making them unsuitable for unpredictable or short-lived workloads. Option C (Spot Instances) offers deep discounts but can be interrupted, which might not be suitable if the workload cannot tolerate interruptions, even if it's unpredictable.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,1,mcq,null,null,[0],m_63_1,easy,false
q_63_m_63_1_52,"A company has a stable, always-on application running on Amazon EC2 instances. To significantly reduce costs over a one-year period, which pricing model should they choose?","[""On-Demand Instances"",""Reserved Instances"",""Spot Instances"",""AWS Free Tier""]","Option B (Reserved Instances) allows you to commit to a 1- or 3-year term for significant discounts compared to On-Demand pricing, making it ideal for stable, predictable workloads. Option A (On-Demand Instances) is the most expensive for steady-state workloads. Option C (Spot Instances) offers deep discounts but is for fault-tolerant, interruptible workloads, not typically for always-on applications. Option D (AWS Free Tier) is for new accounts to explore services and has usage limits, not for long-term production cost reduction.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,2,mcq,null,null,[1],m_63_1,easy,false
q_63_m_63_1_53,"Which Amazon EC2 pricing model is best suited for fault-tolerant, flexible workloads like batch processing that can tolerate interruptions, offering the deepest discounts?","[""On-Demand Instances"",""Reserved Instances"",""Spot Instances"",""Dedicated Hosts""]","Option C (Spot Instances) offers up to a 90% discount compared to On-Demand pricing for workloads that can tolerate interruptions, making it highly cost-effective for fault-tolerant batch processing. Option A (On-Demand Instances) is for flexible, non-interruptible workloads but is more expensive. Option B (Reserved Instances) is for steady-state workloads with a commitment. Option D (Dedicated Hosts) provides physical EC2 servers for licensing or regulatory requirements, not primarily for cost savings on interruptible tasks.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,3,mcq,null,null,[2],m_63_1,easy,false
q_63_m_63_1_54,A new AWS user wants to experiment with Amazon S3 and AWS Lambda without incurring costs. Which AWS offering allows them to use select services up to certain limits for free?,"[""AWS Budgets"",""AWS Free Tier"",""AWS Cost Explorer"",""AWS Organizations""]","Option B (AWS Free Tier) provides free usage of many AWS services up to specific limits for new accounts, allowing users to experiment and learn without cost. Option A (AWS Budgets) is for setting cost and usage alerts. Option C (AWS Cost Explorer) is for visualizing and analyzing spending patterns. Option D (AWS Organizations) is for managing multiple AWS accounts and consolidated billing.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,4,mcq,null,null,[1],m_63_1,easy,false
q_63_m_63_1_55,"When considering data transfer costs within AWS, which statement is generally true regarding data transfer pricing?","[""All inbound data transfer is charged."",""All outbound data transfer is free."",""Data transfer between AWS Regions is typically free."",""Inbound data transfer to AWS is generally free.""]",Option D (Inbound data transfer to AWS is generally free) is correct. AWS typically charges for outbound data transfer from AWS services to the internet and for data transfer between different AWS Regions or Availability Zones. Option A is incorrect as inbound data transfer is generally free. Option B is incorrect as outbound data transfer is usually charged. Option C is incorrect as data transfer between AWS Regions incurs costs.,2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,5,mcq,null,null,[3],m_63_1,easy,false
q_63_m_63_1_56,Which two factors primarily determine the cost of using Amazon S3?,"[""Number of EC2 instances and data transfer in"",""Storage consumed and data transfer out"",""Number of Lambda invocations and compute duration"",""Data processing volume and database size""]","Option B (Storage consumed and data transfer out) are the primary factors determining Amazon S3 costs. You pay for the amount of data stored and for data transferred out of S3 to the internet or other AWS Regions. Option A includes EC2 instances, which are not directly related to S3 pricing. Option C relates to AWS Lambda pricing. Option D relates to database and data analytics services, not S3.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,6,mcq,null,null,[1],m_63_1,easy,false
q_63_m_63_1_57,What are the primary factors that determine the cost of AWS Lambda usage?,"[""Instance type and running hours"",""Storage capacity and data transfer"",""Number of requests and compute duration"",""Number of users and data ingress""]",Option C (Number of requests and compute duration) are the primary factors for AWS Lambda pricing. You are charged based on the number of times your function is invoked (requests) and the duration (in milliseconds) it takes for your code to execute. Option A relates to Amazon EC2 pricing. Option B relates to storage services like Amazon S3. Option D is not a standard pricing model for Lambda.,2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,7,mcq,null,null,[2],m_63_1,easy,false
q_63_m_63_1_58,"Beyond the instance type, what is a key factor that influences the cost of an Amazon EC2 On-Demand instance?","[""Number of S3 buckets"",""Data transfer out"",""Number of DynamoDB tables"",""AWS Support plan level""]","Option B (Data transfer out) is a significant factor influencing Amazon EC2 costs. While inbound data transfer is generally free, data transferred out from an EC2 instance to the internet or other AWS Regions is charged. Options A and C are unrelated services. Option D is a separate account-level cost, not directly tied to a single EC2 instance's operational cost.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,8,mcq,null,null,[1],m_63_1,easy,false
q_63_m_63_1_59,"A development team is deploying a new web application that will run 24/7 for the next two years. To minimize the compute costs for the Amazon EC2 instances, which pricing model should they prioritize?","[""On-Demand Instances"",""Spot Instances"",""Reserved Instances"",""AWS Free Tier""]","Option C (Reserved Instances) are ideal for applications with steady-state, predictable usage running 24/7 for a long duration, offering significant cost savings over a 1- or 3-year commitment. Option A (On-Demand Instances) is more expensive for continuous workloads. Option B (Spot Instances) are interruptible and not suitable for a continuously running web application. Option D (AWS Free Tier) is for experimentation and has limited usage, not for production workloads.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,9,mcq,null,null,[2],m_63_1,easy,false
q_63_m_63_1_60,A data analytics team needs to process large datasets using Amazon EC2 instances. The processing jobs are fault-tolerant and can be interrupted and resumed. Which pricing model would be MOST cost-effective for these jobs?,"[""On-Demand Instances"",""Reserved Instances"",""Spot Instances"",""Dedicated Hosts""]","Option C (Spot Instances) are the most cost-effective choice for fault-tolerant, interruptible workloads like batch data processing, offering substantial discounts compared to On-Demand pricing. Option A (On-Demand Instances) would be more expensive. Option B (Reserved Instances) are for continuous, predictable workloads, not interruptible ones. Option D (Dedicated Hosts) are for specific licensing needs and are generally more expensive.",2026-03-13 03:54:38.121001,quiz_domain63_13,2026-03-13 03:54:38.121001,10,mcq,null,null,[2],m_63_1,easy,false
