question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
f7c68f54-a78b-4e55-9506-cae8e7a31917,mock_46_all_1775003530135,"A pharmaceutical company is training a machine learning model using sensitive patient data stored in an Amazon S3 bucket. To comply with HIPAA regulations, the company must ensure that only authorized AWS Identity and Access Management (IAM) roles can access the training data, and all access attempts are logged. Which combination of AWS services and features should be implemented to enforce these controls effectively?","[""Use S3 bucket policies to restrict access to specific IAM users, and enable S3 access logging to a different bucket."",""Configure S3 Object ACLs for individual files and rely on AWS Config to monitor access changes."",""Encrypt the S3 bucket with SSE-S3 and use AWS Organizations Service Control Policies (SCPs) to manage access."",""Apply an S3 bucket policy to grant access only to specific IAM roles, enable S3 Block Public Access, and configure AWS CloudTrail for data events.""]",49,4,mcq,"Option D (correct) provides the most robust solution for securing sensitive training data in Amazon S3. An S3 bucket policy allows granting precise access to specific IAM roles, enforcing the principle of least privilege. Enabling S3 Block Public Access prevents unintended public exposure of the data. Configuring AWS CloudTrail to log data events (such as GetObject, PutObject) provides a detailed audit trail of all access attempts, which is crucial for HIPAA compliance. Option A (incorrect) restricts access to IAM users, but IAM roles are generally preferred for applications and services for better security posture and manageability. While S3 access logging is good, CloudTrail data events provide a more comprehensive audit trail for API calls. Option B (incorrect) relies on S3 Object ACLs, which are less centralized and harder to manage at scale than bucket policies, and AWS Config monitors configuration changes, not access attempts directly. Option C (incorrect) SSE-S3 provides encryption but does not manage access control. AWS Organizations SCPs are for setting maximum permissions across accounts, not for fine-grained access to a specific S3 bucket.",[3],null,null,m_49_3,null,2026-04-01 02:24:58.132936+00
b44bbc8b-ed9c-46c0-acd4-b7a0ed087706,mock_46_all_1775003530135,"A healthcare provider is preparing a dataset containing Protected Health Information (PHI) for machine learning model training. Before training, all PHI must be anonymized to comply with privacy regulations. The data is stored in Amazon S3. The data engineering team needs an automated, scalable solution to process and anonymize this data efficiently. Which approach is MOST suitable for this requirement?","[""Use AWS Glue to extract, transform, and load (ETL) the data, applying custom Python scripts within Glue jobs to identify and anonymize PHI."",""Manually download the data from Amazon S3, anonymize it using a local script, and then re-upload the anonymized data to a new S3 bucket."",""Implement an AWS Lambda function triggered by S3 object creation events to anonymize data in real-time as it's uploaded."",""Utilize Amazon SageMaker Data Wrangler to visually prepare and transform the data, applying built-in transformations for anonymization.""]",49,5,mcq,"Option A (correct) is the most suitable approach. AWS Glue is a fully managed ETL service that is highly scalable and can process large datasets. By using custom Python scripts within Glue jobs, the data engineering team can implement sophisticated logic to identify and anonymize PHI efficiently. This approach is automated and integrates well with S3. Option B (incorrect) involves manual steps, which is not scalable, prone to errors, and introduces security risks by moving sensitive data outside the AWS environment. Option C (incorrect) while AWS Lambda can be triggered by S3 events, it has execution time limits (currently 15 minutes) and memory constraints, making it less suitable for large-scale, complex data anonymization tasks compared to Glue. Option D (incorrect) Amazon SageMaker Data Wrangler is excellent for data preparation and transformation, and it offers some built-in transformations. However, for complex, custom PHI anonymization logic that might involve specific regulatory rules, a custom script in AWS Glue offers greater flexibility and processing power for large datasets.",[0],null,null,m_49_3,null,2026-04-01 02:24:58.132936+00
4fd2201a-50e0-4830-b625-0ac5bba63edf,mock_46_all_1775002486573,"A data science team needs to store a 500 TB dataset of historical customer interactions for training a new fraud detection model using Amazon SageMaker. The data will be accessed periodically for retraining, and cost optimization is a primary concern. The solution must ensure high durability and scalability without significant operational overhead.","[""Store the data in Amazon S3 Standard-IA and use S3 Lifecycle policies to transition older data to Amazon S3 Glacier Deep Archive."",""Store the data in Amazon S3 Standard and manually move older data to Amazon S3 Glacier Flexible Retrieval using custom scripts."",""Provision a large Amazon EBS gp3 volume attached to an Amazon EC2 instance and mount it to SageMaker training jobs."",""Use Amazon EFS to store the dataset, ensuring POSIX compliance for SageMaker training jobs.""]",46,1,mcq,"Option A (correct) is the most cost-effective and operationally efficient solution. Amazon S3 Standard-IA offers lower storage costs for infrequently accessed data, and S3 Lifecycle policies automate the transition of data to even colder storage tiers like S3 Glacier Deep Archive, which is highly durable and scalable for archival, minimizing operational overhead. Option B (incorrect) uses S3 Standard which is more expensive for infrequently accessed data, and requires manual scripting for lifecycle management, increasing operational overhead. Option C (incorrect) involves provisioning and managing Amazon EBS volumes, which are not designed for 500 TB scale, would be significantly more expensive, and introduce considerable operational overhead for a dataset of this size and access pattern. Option D (incorrect) uses Amazon EFS, which is also significantly more expensive than S3 for large-scale, infrequently accessed datasets and is primarily suited for shared file system access, not massive archival storage.",[0],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
1f2eb3a3-5383-44d3-94f1-7d2b250eed4d,mock_46_all_1775002486573,"A financial institution is developing an Amazon SageMaker model to detect anomalous transactions. The training data, stored in Amazon S3, contains sensitive customer information. The security team mandates that all data at rest must be encrypted with customer-managed keys, and access to the S3 bucket must follow the principle of least privilege for SageMaker training jobs.","[""Configure the S3 bucket to use server-side encryption with S3-managed keys (SSE-S3) and grant the SageMaker execution role full S3 access."",""Encrypt the S3 bucket with server-side encryption using AWS KMS customer-managed keys (CMKs) and create an IAM policy for the SageMaker execution role that grants read-only access to the specific S3 prefix containing the training data."",""Encrypt the S3 bucket with client-side encryption and grant the SageMaker execution role read-only access to all S3 buckets in the account."",""Use Amazon EBS encryption for SageMaker training instances and grant the SageMaker execution role full S3 access to all buckets.""]",46,2,mcq,"Option B (correct) directly addresses both security requirements. Encrypting the S3 bucket with AWS KMS customer-managed keys (CMKs) ensures that data at rest is protected with keys managed by the customer. Creating an IAM policy for the SageMaker execution role that grants read-only access to only the specific S3 prefix containing the training data adheres strictly to the principle of least privilege, preventing unauthorized access (ap-4.3-001). Option A (incorrect) uses SSE-S3, which are AWS-managed keys, not customer-managed, and granting full S3 access violates the principle of least privilege (ap-4.3-001). Option C (incorrect) involves client-side encryption, which adds complexity and operational overhead, and granting read-only access to *all* S3 buckets still violates the principle of least privilege if not all data is needed. Option D (incorrect) focuses on EBS encryption for instances, which protects temporary storage, but does not address the primary requirement for encrypting the training data at rest in S3 with customer-managed keys, and granting full S3 access is a security anti-pattern (ap-4.3-001).",[1],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
39124eea-4199-456e-adf4-426f9f5d2ab8,mock_46_all_1775002486573,"A machine learning team frequently experiments with different datasets for model training, requiring multiple versions of data to be stored. They need to ensure reproducibility of experiments and automatically manage the lifecycle of older, less frequently accessed data versions to optimize storage costs, with the LEAST operational overhead.","[""Enable S3 Versioning on the bucket and configure S3 Lifecycle policies to transition non-current versions to lower-cost storage classes and eventually expire them."",""Manually create new S3 buckets for each data version and periodically delete older buckets when they are no longer needed."",""Store all data versions in Amazon EFS and use custom scripts to archive older versions to Amazon S3."",""Use Amazon EBS snapshots to version the data, attaching different snapshots to SageMaker training instances as needed.""]",46,3,mcq,"Option A (correct) is the most effective and operationally efficient solution. Enabling S3 Versioning automatically keeps multiple versions of an object, providing reproducibility. S3 Lifecycle policies can then be configured to automatically transition non-current (older) versions to more cost-effective storage classes like S3 Standard-IA or S3 Glacier, and eventually expire them, all without manual intervention. Option B (incorrect) involves significant manual effort to create and manage multiple buckets, which is high operational overhead and prone to errors. Option C (incorrect) uses Amazon EFS, which is a file system and not primarily designed for cost-effective, large-scale versioning and archival of historical datasets, and custom scripts for archiving add operational complexity. Option D (incorrect) uses Amazon EBS snapshots, which are tied to specific volumes and instances, making it cumbersome for managing large, independent datasets and not ideal for cost-effective long-term versioning of S3-based training data.",[0],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
9aaf65f2-87f2-4dfa-8073-cdd6e7356e65,mock_46_all_1775002486573,"A data scientist is working with a relatively small (100 GB) dataset that requires extremely low-latency, POSIX-compliant file system access for an Amazon SageMaker training job. The training job involves frequent random reads and writes to small files within the dataset. The team wants to minimize the complexity of data access for SageMaker.","[""Store the data in Amazon S3 Standard and configure SageMaker to download the entire dataset before training starts."",""Use Amazon EFS to store the dataset and configure SageMaker training jobs to mount the EFS file system directly."",""Store the data on an Amazon EBS gp3 volume attached to the SageMaker notebook instance and copy it to the training instance."",""Use Amazon S3 Intelligent-Tiering to store the data and rely on SageMaker's built-in S3 data connectors.""]",46,4,mcq,"Option B (correct) is the best choice for this scenario. Amazon EFS provides a scalable, elastic, POSIX-compliant file system that can be directly mounted by SageMaker training jobs, offering low-latency access for frequent random reads and writes. This minimizes data access complexity for the data scientist. Option A (incorrect) would incur high latency for downloading the entire dataset before training, especially if only parts are needed, and S3 is not POSIX-compliant, making random small file access inefficient. Option C (incorrect) involves manual copying from a notebook instance's EBS volume to the training instance, which adds operational overhead and doesn't provide a shared, scalable solution for multiple training jobs or notebooks. Option D (incorrect) uses S3 Intelligent-Tiering for cost optimization, but S3's object storage model is not designed for the low-latency, POSIX-compliant random read/write access pattern required.",[1],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
fae5c347-0337-4515-a68d-ed88e5b8624a,mock_46_all_1775002486573,"A research team is collaborating on a machine learning project using Amazon SageMaker. They need a shared data repository for their training datasets and model artifacts that allows multiple SageMaker notebooks and training jobs to concurrently read and write data with POSIX file system semantics, ensuring high throughput and low latency.","[""Store all data in a single Amazon S3 bucket and manage concurrent access using S3 object locking."",""Provision an Amazon EBS io2 Block Express volume and attach it to a central Amazon EC2 instance, then share it via NFS."",""Utilize Amazon EFS to create a shared file system that can be mounted by multiple SageMaker instances and training jobs."",""Use Amazon DynamoDB to store metadata about the datasets and store the actual data as objects in Amazon S3.""]",46,5,mcq,"Option C (correct) is the ideal solution. Amazon EFS provides a scalable, elastic, POSIX-compliant file system that supports concurrent access from multiple EC2 instances, including SageMaker notebooks and training jobs. This directly meets the requirement for shared read/write access with POSIX semantics, high throughput, and low latency. Option A (incorrect) uses Amazon S3, which is object storage and does not provide POSIX file system semantics or efficient concurrent random read/write access for multiple compute instances. S3 object locking is for versioning and preventing accidental deletion, not for shared file system access. Option B (incorrect) involves setting up and managing an EC2 instance with an NFS server, which introduces significant operational overhead and is not a fully managed service, failing the 'least operational overhead' implicit in using managed services. Option D (incorrect) proposes a complex and unsuitable architecture; Amazon DynamoDB is a NoSQL database, not a file system, and combining it with S3 for this use case would be overly complex and inefficient for shared file system access.",[2],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
9d7e1189-0e78-40b7-8099-04d4e820f190,mock_46_all_1775002486573,An organization needs to store trained machine learning model artifacts and inference results for long-term archival and auditing purposes. The data is accessed infrequently after initial deployment but must be highly durable and cost-effective. The solution should also allow easy retrieval when needed for compliance checks or model re-evaluation.,"[""Store the artifacts and results in Amazon EBS volumes attached to idle EC2 instances."",""Use Amazon S3 Standard-IA for initial storage and configure S3 Lifecycle policies to transition data to Amazon S3 Glacier Flexible Retrieval."",""Store the data in Amazon EFS and manually move older data to on-premises tape storage."",""Upload the artifacts and results directly to Amazon S3 Glacier Deep Archive for immediate long-term storage.""]",46,6,mcq,"Option B (correct) provides the most cost-effective and durable solution with easy retrieval. Amazon S3 Standard-IA is suitable for infrequently accessed data, and S3 Lifecycle policies automate the transition to Amazon S3 Glacier Flexible Retrieval, which is highly durable and very cost-effective for long-term archives, while still allowing flexible retrieval options when needed. Option A (incorrect) is highly inefficient and expensive, as EBS volumes attached to idle EC2 instances incur compute costs and are not designed for long-term, cost-effective archival. Option C (incorrect) uses Amazon EFS, which is significantly more expensive for archival storage, and manual movement to on-premises tape storage introduces significant operational overhead and management complexity. Option D (incorrect) directly uploading to S3 Glacier Deep Archive might be cost-effective for storage, but it has the longest retrieval times (up to 12 hours) and higher retrieval costs compared to Glacier Flexible Retrieval, which might not meet the 'easy retrieval when needed' aspect for compliance checks.",[1],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
774febae-0efe-4e85-b086-afca1993ca5b,mock_46_all_1775002486573,"A company needs to store a vast collection of unstructured text documents for natural language processing (NLP) model training using Amazon SageMaker. The data volume is expected to grow significantly, and the solution must provide high durability, scalability, and cost-effectiveness for infrequently accessed archival data, while ensuring data integrity.","[""Store the documents in Amazon EBS volumes attached to an Amazon EC2 instance and manually manage backups."",""Use Amazon S3 Standard for initial storage and implement S3 Lifecycle policies to move older, less accessed data to Amazon S3 Glacier Deep Archive."",""Store the documents in Amazon EFS for shared access and use custom scripts to archive old data to Amazon S3."",""Upload all documents directly to Amazon S3 Glacier Flexible Retrieval for immediate long-term storage.""]",46,7,mcq,"Option B (correct) is the most suitable solution for storing vast, growing, unstructured text documents for NLP training. Amazon S3 Standard offers high durability and scalability. Implementing S3 Lifecycle policies to transition older, less accessed data to Amazon S3 Glacier Deep Archive ensures cost-effectiveness for archival purposes while maintaining high durability and data integrity, all with minimal operational overhead. Option A (incorrect) involves Amazon EBS, which is not designed for petabyte-scale, cost-effective archival of unstructured data and requires manual backup management, leading to high operational overhead and cost. Option C (incorrect) uses Amazon EFS, which is significantly more expensive for large-scale archival and requires custom scripts for archiving, increasing operational burden. Option D (incorrect) directly uploading to Amazon S3 Glacier Flexible Retrieval might be cost-effective for storage, but it has higher retrieval costs and longer retrieval times compared to S3 Standard, which is better for initial storage of data that might still be accessed occasionally.",[1],null,null,m_46_1,null,2026-04-01 02:24:58.132936+00
96a74e22-1897-4094-82d4-6055df265d60,mock_46_all_1775002486573,"A media company wants to ingest real-time social media feeds to train an Amazon Personalize model for content recommendations. The solution needs to capture millions of events per hour, process them with minimal latency, and store them in Amazon S3 for batch processing and model retraining, while minimizing operational overhead.","[""Use AWS Lambda functions to directly write each social media event to an S3 object."",""Implement Amazon Kinesis Data Streams to ingest the real-time data, followed by an AWS Lambda function to aggregate and write to S3."",""Configure Amazon Kinesis Data Firehose to ingest the real-time data and automatically deliver it to Amazon S3."",""Set up an Amazon EC2 instance with a custom application to pull social media data and upload it to S3 hourly.""]",46,8,mcq,"Option C (correct) is the most suitable solution for real-time ingestion with minimal operational overhead. Amazon Kinesis Data Firehose is a fully managed service that can ingest real-time streaming data and automatically deliver it to Amazon S3, among other destinations. It handles scaling, buffering, and delivery, significantly reducing operational burden. Option A (incorrect) would result in a large number of small S3 objects, leading to performance issues and higher costs for S3, and Lambda invocations could become expensive at millions of events per hour. Option B (incorrect) uses Kinesis Data Streams, which provides more granular control but requires managing shards and developing a consumer (like a Lambda function) to process and write to S3, increasing operational overhead compared to Firehose. Option D (incorrect) involves setting up and managing an EC2 instance, which is not serverless and introduces significant operational overhead for a real-time ingestion pipeline.",[2],null,null,m_46_2,null,2026-04-01 02:24:58.132936+00
