question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
86980a18-4af7-441c-b350-4b205ad1312d,mock_5_all_1774920687442,"A data analytics team needs to identify and classify sensitive data, such as Personally Identifiable Information (PII), stored across numerous Amazon S3 buckets in their AWS account. The solution must be automated and provide insights into data residency and access patterns.","[""Use AWS Config rules to monitor S3 bucket policies for public access."",""Enable Amazon Macie to discover, classify, and protect sensitive data in Amazon S3."",""Implement Amazon GuardDuty to detect unusual access patterns to S3 buckets."",""Manually review the contents of each S3 object to identify sensitive information.""]",25,14,mcq,"Option B (correct) is specifically designed for this purpose. Amazon Macie is a data security and data privacy service that uses machine learning and pattern matching to discover, classify, and protect sensitive data in Amazon S3. It can identify PII and other sensitive data, and provide insights into data residency and access patterns. Option A (incorrect) monitors S3 bucket configurations for compliance, not the content of the data for sensitive information. Option C (incorrect) is a threat detection service that monitors for malicious activity and unauthorized behavior, not for data classification. Option D (incorrect) is a manual, unscalable, and impractical approach for large volumes of data.",[1],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
d2799f22-d403-42f3-bb93-3926a4b865f6,mock_5_all_1774920687442,"A company has a strict policy against any public access to its Amazon S3 buckets. The CloudOps team needs to enforce this policy at the account level to prevent accidental public exposure of data, even if new buckets are created.","[""Configure individual S3 bucket policies for each bucket to deny public access."",""Use AWS Config rules to detect publicly accessible S3 buckets and send alerts."",""Enable Amazon S3 Block Public Access settings at the account level."",""Implement AWS IAM policies that restrict users from making S3 buckets public.""]",25,15,mcq,"Option C (correct) is the most effective way to enforce a strict 'no public access' policy at the account level. Amazon S3 Block Public Access provides settings that can be applied at the account level, which overrides individual bucket settings and prevents any S3 bucket in that account from being publicly accessible, including newly created ones. Option A (incorrect) requires manual configuration for each bucket and does not apply to new buckets by default. Option B (incorrect) is a detective control; it detects public access after it occurs but does not prevent it. Option D (incorrect) can be effective but requires careful management of IAM policies for all users and roles, and might not cover all scenarios as comprehensively as account-level Block Public Access.",[2],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
d46f4f55-1253-43bd-99a8-88032d6a3a0c,mock_5_all_1774920687442,A security incident response team needs to analyze network traffic patterns within a VPC to investigate a potential breach. They require detailed metadata about all accepted and rejected network traffic for forensic analysis and auditing purposes.,"[""Configure Security Groups to log all traffic to Amazon CloudWatch Logs."",""Utilize Network ACLs (NACLs) to capture packet headers for inspection."",""Enable Amazon VPC Flow Logs to capture IP traffic metadata for the VPC."",""Deploy a third-party network intrusion detection system (NIDS) within the VPC.""]",25,16,mcq,"Option C (correct) is the primary AWS service for this requirement. Amazon VPC Flow Logs capture metadata about the IP traffic going to and from network interfaces in a VPC, including accepted and rejected traffic. This data is crucial for security forensics, network troubleshooting, and compliance auditing (`[ap-4.2-001]`). Option A (incorrect) is not a native feature of Security Groups; they are stateful firewalls that filter traffic, not log all traffic metadata. Option B (incorrect) are stateless firewalls at the subnet level and do not provide detailed traffic logs. Option D (incorrect) would provide some network visibility but introduces additional operational overhead and cost, and VPC Flow Logs are the native, managed solution for this specific need.",[2],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
49e627ea-f769-47d9-afe8-f54443816c9d,mock_5_all_1774920687442,A company needs to implement a stateless firewall at the subnet level within its Amazon VPC to filter inbound and outbound traffic based on IP addresses and ports. The solution must provide a coarse-grained layer of security before traffic reaches individual instances.,"[""Configure Security Groups for each EC2 instance."",""Implement Network Access Control Lists (NACLs) for the subnets."",""Deploy an AWS WAF (Web Application Firewall) in front of the application."",""Use Amazon GuardDuty to block unwanted traffic based on IP addresses.""]",25,17,mcq,"Option B (correct) is the appropriate service for implementing a stateless firewall at the subnet level. Network Access Control Lists (NACLs) act as a firewall for associated subnets, controlling both inbound and outbound traffic. They are stateless, meaning they apply rules independently to incoming and outgoing packets. Option A (incorrect) are stateful firewalls that operate at the instance level, not the subnet level. Option C (incorrect) is a web application firewall that protects against common web exploits at the application layer, not a network-level firewall for subnets. Option D (incorrect) is a threat detection service, not a firewall that blocks traffic based on IP addresses.",[1],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
5209e692-2f9a-4615-bf3d-58c6760dc710,mock_5_all_1774920687442,"A CloudOps team needs a centralized, managed service to create, store, and manage cryptographic keys used for encrypting data across various AWS services like Amazon S3 and Amazon RDS. The solution must support key rotation and access control.","[""Store encryption keys in AWS Secrets Manager."",""Utilize AWS Key Management Service (KMS) to manage cryptographic keys."",""Implement a custom key management solution on an Amazon EC2 instance."",""Use AWS Certificate Manager (ACM) to generate and manage encryption keys.""]",25,18,mcq,"Option B (correct) is the purpose-built service for this requirement. AWS Key Management Service (KMS) allows you to create and manage cryptographic keys and control their use across a wide range of AWS services and in your applications. It supports automatic key rotation and integrates with IAM for granular access control. Option A (incorrect) is designed for managing secrets like database credentials, API keys, and other sensitive information, not for managing raw cryptographic keys used for data encryption. Option C (incorrect) introduces significant operational overhead, security risks, and does not leverage AWS's managed security services. Option D (incorrect) is for managing SSL/TLS certificates, not general-purpose cryptographic keys for data encryption.",[1],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
6c846fac-df36-4aef-8cf8-cb614af08b4b,mock_5_all_1774920687442,"A company is migrating its on-premises database to Amazon RDS and requires that all data stored in the database instance, including backups and snapshots, is encrypted at rest. The solution must be fully managed and transparent to the application.","[""Implement application-level encryption within the database client."",""Encrypt the underlying Amazon EBS volumes attached to the RDS instance manually."",""Enable encryption for the Amazon RDS instance using AWS Key Management Service (KMS)."",""Store sensitive data in Amazon S3 and encrypt it with S3 server-side encryption.""]",25,19,mcq,"Option C (correct) is the most effective and managed solution. Amazon RDS encryption, integrated with AWS Key Management Service (KMS), allows you to encrypt your database instances, including their automated backups, read replicas, and snapshots. This encryption is transparent to the application and is fully managed by AWS. Option A (incorrect) requires application changes and adds complexity, which is not ideal for a transparent, fully managed solution. Option B (incorrect) is not directly possible for RDS instances as the underlying EBS volumes are managed by RDS, and you enable encryption at the RDS instance level. Option D (incorrect) suggests storing data in S3, which is not a relational database solution and doesn't meet the requirement of migrating an on-premises database to RDS.",[2],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
5700efee-85a4-4b89-aa8f-f5481bcebbee,mock_5_all_1774920687442,"A CloudOps engineer needs to restrict network access to an Amazon EC2 instance hosting a critical application, allowing traffic only from specific IP addresses and specific ports. The solution must be stateful and apply directly to the instance.","[""Configure Network Access Control Lists (NACLs) at the subnet level."",""Implement an AWS Organizations Service Control Policy (SCP) to restrict network access."",""Apply Security Groups to the EC2 instance's network interface."",""Use Amazon VPC Flow Logs to monitor and block unauthorized traffic.""]",25,20,mcq,"Option C (correct) is the appropriate service for this requirement. Security Groups act as a stateful firewall for EC2 instances, allowing you to control inbound and outbound traffic at the instance level. You can specify allowed IP addresses, ports, and protocols, implementing the principle of least privilege for network access. Option A (incorrect) are stateless firewalls that operate at the subnet level, not directly on the instance, and are less granular for instance-specific rules. Option B (incorrect) are used for preventive guardrails at the organizational level, not for controlling network traffic to individual instances. Option D (incorrect) captures network traffic metadata for monitoring and analysis but does not block traffic.",[2],null,null,m_25_2,null,2026-04-01 02:23:04.360278+00
02ab919d-f710-4e2c-95e7-f06711361092,mock_5_all_1774920687442,"A company needs to ensure all its Amazon EC2 instances running Windows and Linux operating systems are patched monthly. This patching must occur during a specific maintenance window to avoid impacting production workloads. The solution should be automated, scalable, and provide a clear schedule with centralized control.","[""Manually initiate patching on each instance during the designated maintenance window."",""Develop custom AWS Lambda functions to trigger patching scripts on instances at scheduled times."",""Utilize AWS Systems Manager Patch Manager configured with maintenance windows."",""Implement custom cron jobs on each Amazon EC2 instance to run patching commands.""]",24,10,mcq,"Option C (correct) is the most effective and efficient solution. AWS Systems Manager Patch Manager automates the patching process for both Windows and Linux Amazon EC2 instances. By configuring maintenance windows, the patching can be scheduled to occur during off-peak hours, minimizing impact on production workloads. This provides centralized control, scalability, and a clear schedule. Option A (incorrect) is a manual, unscalable, and error-prone approach that increases operational overhead. Option B (incorrect) would involve significant development and maintenance overhead to replicate the robust functionality already provided by Systems Manager Patch Manager. Option D (incorrect) leads to decentralized management, making it difficult to ensure consistency, monitor compliance, and manage updates across a large fleet.",[2],null,null,m_24_2,null,2026-04-01 02:23:04.360278+00
cc2b26fe-d245-4e68-9f29-a45d3b6f89a0,mock_22_all_1775008523048,"A DevOps team needs a centralized, customizable view to monitor the health and performance of their entire application stack, including Amazon EC2, Amazon RDS, and AWS Lambda resources. They want to share this view easily with stakeholders.","[""Use the AWS Health Dashboard to view service health events relevant to their account."",""Generate reports from AWS Trusted Advisor for cost optimization and performance recommendations."",""Create Amazon CloudWatch Dashboards to visualize metrics and alarms from all relevant services."",""Export all monitoring data to an external business intelligence (BI) tool for visualization.""]",22,7,mcq,"Option C (correct) directly addresses the requirement for a centralized, customizable, and shareable view of application health and performance across multiple AWS services. CloudWatch Dashboards allow users to create custom visualizations of metrics, logs, and alarms. Option A (incorrect) provides account-specific service health information, but it's not a customizable dashboard for application-specific metrics and performance. Option B (incorrect) provides recommendations for best practices but is not a real-time monitoring dashboard for operational health. Option D (incorrect) would introduce additional complexity, cost, and latency for data export and external tool management, violating the implicit 'minimal overhead' preference for a native solution.",[2],null,null,m_22_1,null,2026-04-01 02:23:04.360278+00
2b3a1a44-4c41-40e8-bf87-f1366c239b78,mock_22_all_1775008523048,"An operations team is collecting application logs in Amazon CloudWatch Logs. They need to create an alarm whenever the string ""ERROR"" appears more than 5 times within a 1-minute period in a specific log group.","[""Use Amazon CloudWatch Logs Insights to run a query every minute and check the count."",""Configure an AWS CloudTrail event to trigger an alarm when an error log is recorded."",""Manually inspect the CloudWatch Logs console for error occurrences."",""Create an Amazon CloudWatch metric filter on the log group to count \""ERROR\"" occurrences, then create an alarm on that metric.""]",22,8,mcq,"Option D (correct) is the precise and efficient way to achieve this. A CloudWatch metric filter can extract specific terms (like 'ERROR') from log events and transform them into a custom metric. An Amazon CloudWatch alarm can then be set on this custom metric to trigger when the count exceeds a threshold within a specified period. Option A (incorrect) is for ad-hoc querying, not for continuous, automated alarming. Option B (incorrect) is for monitoring AWS API calls, not application logs. Option C (incorrect) is a manual process and not suitable for automated, real-time alerting.",[3],null,null,m_22_1,null,2026-04-01 02:23:04.360278+00
