question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
40048619-68df-48bf-a00a-fa1a01ded047,aws_saa_mock_exam_xyz789,"An e-commerce platform uses a stateless web application deployed across multiple Availability Zones. During peak shopping periods, user sessions must be maintained even if instances are replaced. Which solutions ensure session persistence? (Select TWO)","[""Store session data in Amazon ElastiCache for Redis with Multi-AZ enabled"",""Enable sticky sessions on the Application Load Balancer"",""Store session data in DynamoDB with DAX for low-latency access"",""Use Amazon EFS to store session files accessible from all instances"",""Configure Auto Scaling to maintain minimum capacity during peak periods""]",19,23,multiple,"**CORRECT ANSWERS: Options A, C (Indices 0, 2)**

ElastiCache for Redis with Multi-AZ provides distributed, in-memory session storage with automatic failover, ensuring sessions persist across instance replacements. DynamoDB with DAX offers scalable, persistent session storage with sub-millisecond latency for high-traffic applications.

✓ Why these options are correct:
• Each option independently meets the requirements
• Together they provide the complete solution
• All are essential for the scenario

**Why Other Options Are Incorrect:**

Option B (INCORRECT): This service is not designed for this specific use case.

Option D (INCORRECT): This option doesn't provide a complete solution.

Option E (INCORRECT): This is not the best solution for this scenario.","[0,2]",null,null,m_19_1,null,2026-03-11 01:41:54.116876+00
06bef47c-43ca-44b0-aaa3-509badbde48c,aws_saa_mock_exam_def456,A real-time bidding application requires database writes with sub-5ms latency and reads with sub-1ms latency for millions of transactions per second. The application can tolerate eventual consistency for reads. Which database configuration delivers the required performance?,"[""RDS MySQL with Provisioned IOPS and read replicas"",""DynamoDB with on-demand capacity and DynamoDB Accelerator (DAX)"",""Aurora PostgreSQL with reader endpoints"",""ElastiCache Redis with cluster mode enabled""]",20,38,mcq,"**CORRECT ANSWER: Option B (Index 1)**

DynamoDB provides single-digit millisecond write latency at any scale

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option C (INCORRECT):
✗ While this option addresses part of the requirement, it leaves critical gaps
✗ You would need to combine this with other services to complete the solution
✗ The partial coverage means this cannot stand alone as a complete solution
✗ Critical aspects of the scenario would remain unaddressed

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[1],null,null,m_20_1,null,2026-03-11 01:41:54.116876+00
bc0345a3-cd44-438f-8556-8772a53c97bb,aws_saa_mock_exam_def456,A high-frequency trading application requires the absolute lowest storage latency for processing market data. The data is ephemeral and does not need to persist beyond the trading session. Which storage option provides the lowest latency for this use case?,"[""EBS Provisioned IOPS SSD (io2) volumes"",""EBS General Purpose SSD (gp3) volumes"",""EC2 instance store volumes (NVMe SSD)"",""EFS with Max I/O performance mode""]",20,41,mcq,"**CORRECT ANSWER: Option C (Index 2)**

EC2 instance store provides the lowest latency storage attached directly to the physical host

✓ Why this option is correct:
• Uses the specific AWS service or pattern designed precisely for this problem type
• Covers all aspects mentioned in the scenario without gaps
• Includes necessary components for monitoring, scaling, and security
• Implements patterns recommended by AWS for production workloads
• Provides cost optimization and operational efficiency
• Integrates seamlessly with other AWS services

**Why Other Options Are Incorrect:**

Option A (INCORRECT):
✗ This approach is outdated and doesn't align with AWS best practices.

Option B (INCORRECT):
✗ While this service exists, it serves a different primary purpose
✗ Attempting to use this service would require significant workarounds
✗ The service lacks key features needed for this specific scenario
✗ Performance and cost would be suboptimal compared to the correct choice

Option D (INCORRECT):
✗ This option doesn't provide a complete solution.",[2],null,null,m_20_1,null,2026-03-11 01:41:54.116876+00
45ea7cd1-2587-4eb5-85eb-2bc3487a1170,mock_18_all_1774924049788,"A development team is deploying an application on Amazon EC2 instances that needs to securely access Amazon S3 buckets. The team wants to ensure that the application can retrieve temporary, frequently rotated credentials without embedding long-term access keys in the code, thereby minimizing security risks and operational overhead. Which approach should a Solutions Architect recommend?","[""Option A: Generate an IAM user with programmatic access, store its access keys in AWS Systems Manager Parameter Store SecureString, and retrieve them in the application."",""Option B: Create an IAM role with specific permissions for Amazon S3, attach it to the Amazon EC2 instances, and allow the application to retrieve temporary credentials automatically."",""Option C: Embed the IAM user's access keys directly into the application code, encrypt them, and store the code in a private Git repository."",""Option D: Store the IAM user's access keys in AWS Secrets Manager, configure automatic rotation, and integrate the application to retrieve them at runtime.""]",18,1,mcq,"Option B (correct) is the most secure and operationally efficient method. By attaching an IAM role to the Amazon EC2 instances, the application can automatically receive temporary credentials from the instance metadata service, eliminating the need to store or manage long-term access keys. These credentials are automatically rotated by AWS, enhancing security and reducing operational overhead. Option A (incorrect) involves managing access keys, even if stored securely in Parameter Store. While better than embedding, it still requires the application to explicitly retrieve and manage these keys, which is less ideal than the automatic credential provision by an IAM role for EC2. Option C (incorrect) represents an anti-pattern (ap-1.1-002) as embedding long-term access keys in application code is highly insecure, risks exposure, and makes key rotation difficult. Option D (incorrect) uses AWS Secrets Manager, which is excellent for managing and rotating general application secrets like database credentials. However, for an application running on an EC2 instance needing AWS service access, an IAM role is the native, more secure, and lower-overhead solution for obtaining AWS credentials directly.",[1],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
8793fd18-3bf1-464f-9f81-c9c6ea963f8f,mock_18_all_1774924049788,A company's security team needs to audit Amazon S3 bucket configurations and object access logs across multiple AWS accounts within an AWS Organization. The auditing account must have read-only access to these resources in all member accounts. The Solutions Architect needs to design a secure and scalable solution for this cross-account access. Which approach is MOST appropriate?,"[""Option A: Create an IAM user in the auditing account, and then manually create the same IAM user with read-only permissions in each member account."",""Option B: Configure an IAM role in each member account that grants read-only access to S3, and establish a trust policy allowing the auditing account to assume this role."",""Option C: Share the root user credentials of each member account with the auditing team for read-only access."",""Option D: Use AWS IAM Identity Center to provision individual users in the auditing account and grant them direct read-only access to S3 in all member accounts.""]",18,2,mcq,"Option B (correct) is the most secure and scalable approach for cross-account auditing. By creating an IAM role in each member account with specific read-only permissions for S3 and a trust policy that allows the auditing account to assume it, you centralize the auditing process without distributing long-term credentials. This aligns with the principle of least privilege and simplifies management. Option A (incorrect) would involve creating and managing multiple IAM users and their credentials across many accounts, leading to high operational overhead and potential security risks. Option C (incorrect) is a severe anti-pattern (ap-1.1-001) as sharing root user credentials grants unrestricted access and is a major security vulnerability. Option D (incorrect) describes a partial solution. While AWS IAM Identity Center can manage users, it still requires the underlying permission model, which is typically handled by IAM roles for cross-account access, not direct user provisioning into member accounts for this specific auditing scenario. The core mechanism for secure cross-account access for services like S3 is through IAM roles.",[1],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
4bd3306b-4659-4842-b032-2bf764c8cb88,mock_18_all_1774924049788,"A company needs to provide shell access to its Amazon EC2 instances for administrative tasks. The security team requires a solution that eliminates the need to open SSH port 22 to the internet, minimizes the attack surface, and provides auditability of all sessions. Which AWS service or feature should the Solutions Architect recommend?","[""Option A: Configure a bastion host in a public subnet with a security group allowing SSH from specific IP addresses."",""Option B: Open port 22 (SSH) to 0.0.0.0/0 in the security group of the EC2 instances and rely on strong passwords."",""Option C: Use AWS Systems Manager Session Manager to connect to the EC2 instances."",""Option D: Implement Network ACLs to restrict SSH access to only corporate IP ranges.""]",18,3,mcq,"Option C (correct) is the most secure and operationally efficient method. AWS Systems Manager Session Manager provides secure, auditable shell access to EC2 instances without opening inbound ports like SSH (port 22) on the instances or requiring bastion hosts. It leverages IAM for access control and integrates with AWS CloudTrail for auditing. Option A (incorrect) is a valid pattern for SSH access but still involves managing a bastion host and opening port 22, even if restricted. It adds operational overhead compared to Session Manager. Option B (incorrect) is a severe anti-pattern (ap-1.2-001) as opening port 22 to 0.0.0.0/0 exposes instances to brute-force attacks from the entire internet, regardless of password strength. Option D (incorrect) restricts access at the subnet level, which is a good practice, but it still requires port 22 to be open to the specified IP ranges on the instances themselves, which Session Manager avoids entirely.",[2],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
195a559d-6cbc-41f1-bf7e-dd62b052437b,mock_18_all_1774924049788,"A public-facing web application hosted on AWS is experiencing frequent attacks, including SQL injection and cross-site scripting (XSS). The Solutions Architect needs to implement a solution that protects the application from these common web exploits without requiring changes to the application code. Which AWS service should be implemented?","[""Option A: Amazon GuardDuty to detect unusual activity and potential threats."",""Option B: AWS WAF (Web Application Firewall) to filter malicious web traffic."",""Option C: AWS Shield Advanced to provide enhanced DDoS protection."",""Option D: Configure Security Groups to block suspicious IP addresses.""]",18,4,mcq,"Option B (correct) is specifically designed to protect web applications from common web exploits like SQL injection and XSS. AWS WAF allows you to create custom rules to block or allow traffic based on various criteria, including patterns indicative of these attacks, without modifying application code. Option A (incorrect) is a threat detection service that monitors for malicious activity and unauthorized behavior, but it does not actively prevent web exploits like SQL injection or XSS from reaching the application. Option C (incorrect) provides enhanced DDoS protection but does not specifically protect against application-layer attacks like SQL injection or XSS. Option D (incorrect) can block traffic from specific IP addresses but is not effective against dynamic web exploits that might originate from legitimate-looking sources or use varied attack vectors; it's a network-level control, not an application-layer firewall.",[1],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
3e107ce1-12c9-4866-9955-0e9fe0ad5b78,mock_18_all_1774924049788,"A healthcare company stores patient health information (PHI) in Amazon S3. Due to strict regulatory compliance, all data must be encrypted at rest using customer-managed encryption keys, and all key usage must be auditable. Which encryption option for Amazon S3 should the Solutions Architect recommend to meet these requirements?","[""Option A: Server-Side Encryption with AWS KMS (SSE-KMS) using a customer-managed key (CMK)."",""Option B: Server-Side Encryption with Amazon S3-managed keys (SSE-S3)."",""Option C: Server-Side Encryption with Customer-Provided Keys (SSE-C)."",""Option D: Client-Side Encryption, where the application encrypts data before uploading to S3.""]",18,5,mcq,"Option A (correct) is the most suitable choice. SSE-KMS with a customer-managed key (CMK) allows the customer to have control over the encryption key, including key rotation and access policies. Importantly, all API calls to AWS KMS involving the CMK are logged in AWS CloudTrail, providing the necessary audit trail for compliance. Option B (incorrect) is an anti-pattern (ap-1.3-001) for this scenario. SSE-S3 uses AWS-managed keys, meaning the customer has no control over the key or its rotation, and there is no direct audit trail of key usage in CloudTrail, failing the 'customer-managed' and 'auditable' requirements. Option C (incorrect) involves the customer providing the encryption key for each object. While the customer manages the key, it doesn't integrate with AWS KMS for key management or provide the same level of auditability through CloudTrail for key usage as SSE-KMS CMKs. Option D (incorrect) involves the application handling encryption, which puts the burden of key management, rotation, and auditing entirely on the customer's application, increasing operational complexity and potentially failing to meet specific compliance audit requirements for key management.",[0],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
82cff09a-f9c3-4a11-a0ff-ea281c2634bb,mock_18_all_1774924049788,A government agency needs to store highly sensitive classified data in AWS. The agency's compliance requirements mandate that cryptographic keys must be generated and stored within a dedicated hardware security module (HSM) that meets FIPS 140-2 Level 3 validation. Which AWS service is specifically designed to meet this stringent requirement?,"[""Option A: AWS KMS (Key Management Service) with a customer-managed key (CMK)."",""Option B: AWS CloudHSM."",""Option C: AWS Secrets Manager for storing cryptographic keys."",""Option D: Encrypt data client-side using open-source cryptographic libraries.""]",18,6,mcq,"Option B (correct) is the only AWS service that provides dedicated hardware security modules (HSMs) that meet FIPS 140-2 Level 3 validation. AWS CloudHSM gives customers exclusive control over their encryption keys within a single-tenant HSM appliance. Option A (incorrect) is an anti-pattern (ap-1.3-004) in this context. While AWS KMS provides FIPS 140-2 Level 2 validated HSMs, it does not offer the dedicated, single-tenant FIPS 140-2 Level 3 compliance that AWS CloudHSM does. Option C (incorrect) is for storing and rotating secrets, not for generating and storing cryptographic keys in FIPS 140-2 Level 3 validated hardware. Option D (incorrect) places the entire burden of key management, hardware security, and compliance on the customer, which is extremely complex and unlikely to meet the FIPS 140-2 Level 3 requirement without significant investment.",[1],null,null,m_18_1,null,2026-04-01 02:22:01.346438+00
13e36847-81f8-4cf0-8dd0-732165c09abf,mock_18_all_1774924049788,A large enterprise with hundreds of employees needs to provide single sign-on (SSO) access to multiple AWS accounts and various third-party business applications. The company uses an existing corporate directory for user identities. The Solutions Architect must implement a solution that simplifies user management and provides a centralized access portal for all users. Which AWS service should be used?,"[""Option A: AWS IAM Identity Center (successor to AWS SSO) integrated with the corporate directory."",""Option B: Create individual IAM users in each AWS account and manage their credentials manually."",""Option C: Amazon Cognito User Pools to manage user identities and provide access to AWS accounts."",""Option D: Configure IAM roles in each account and instruct users to assume roles using the AWS CLI or console.""]",18,7,mcq,"Option A (correct) is the ideal solution for this scenario. AWS IAM Identity Center (successor to AWS SSO) provides a centralized way to manage access to multiple AWS accounts and business applications. It can integrate with existing corporate directories (like Active Directory or Okta) to provide single sign-on, simplifying user management and providing a unified access portal for users. Option B (incorrect) would lead to significant operational overhead and security risks due to managing hundreds of individual IAM users and their credentials across multiple accounts. Option C (incorrect) is primarily designed for customer-facing web and mobile applications to handle sign-up and sign-in, not for enterprise workforce identity federation to AWS accounts and third-party applications (ap-1.1-004). Option D (incorrect) provides a mechanism for cross-account access but does not offer a centralized user management system or a user-friendly SSO portal for hundreds of users, making it cumbersome for large-scale enterprise use.",[0],null,null,m_18_2,null,2026-04-01 02:22:01.346438+00
