id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_26_m_26_2_77,What is a CNAME record in Amazon Route 53 primarily used for?,"[""To map a domain name to an IPv4 address."",""To specify mail servers for a domain."",""To map an alias name to another canonical domain name."",""To perform health checks on resources.""]","Option C (correct) is the primary use of a CNAME record. It maps an alias domain name (e.g., blog.example.com) to another canonical domain name (e.g., example.com). Option A describes an A record. Option B describes an MX record. Option D describes Route 53 health checks, which are not a record type.",2026-03-20 03:22:45.874338,quiz_domain26_5,2026-03-20 03:22:45.874338,42,mcq,null,null,[2],m_26_2,medium,false
q_22_m_22_1_33,Which AWS service is primarily used to collect logs and metrics from EC2 instances and send them to CloudWatch?,"[""CloudWatch Agent"",""AWS Config"",""AWS Systems Manager Agent (SSM Agent)"",""AWS CloudFormation, which allows for robust provisioning of resources and extensive configuration management features.""]",The CloudWatch Agent is specifically designed for collecting logs and metrics from EC2 instances and on-premises servers.,2025-12-17 03:47:45.426243,quiz_domain22_5,2025-12-17 03:47:45.426243,33,mcq,null,null,[0],m_22_1,medium,false
q_27_m_27_2_31,Which AWS service is best suited for monitoring and diagnosing performance issues in an Amazon RDS database instance?,"[""Amazon RDS Performance Insights"",""Amazon CloudWatch Logs for reviewing database error logs and general operational messages."",""AWS X-Ray"",""AWS Trusted Advisor""]",Amazon RDS Performance Insights is a database performance tuning and monitoring feature that helps you quickly assess the load on your database.,2025-12-17 03:47:45.426243,quiz_domain27_5,2025-12-17 03:47:45.426243,31,mcq,null,null,[0],m_27_2,medium,false
q_22_m_22_2_32,You need to automate remediation for a specific CloudWatch alarm event. Which service can you use to trigger a Lambda function based on the alarm?,"[""AWS Step Functions"",""Amazon EventBridge"",""Amazon SNS"",""AWS Glue DataBrew, which is a visual data preparation tool to clean and normalize data without writing any code.""]","EventBridge allows you to create rules that trigger actions, such as invoking a Lambda function, based on events from AWS services.",2025-12-17 03:47:45.426243,quiz_domain22_5,2025-12-17 03:47:45.426243,32,mcq,null,null,[1],m_22_2,medium,false
q_26_m_26_2_26,A company needs to resolve DNS queries for their on-premises network to AWS resources using private IPs without forwarding all traffic. Which AWS service should be configured?,"[""Route 53 Resolver endpoints"",""AWS PrivateLink for DNS resolution"",""AWS Global Accelerator with DNS integration"",""Amazon CloudFront with DNS-based routing, handling all on-premises DNS queries for all applications.""]","Route 53 Resolver endpoints allow on-premises DNS servers to query private hosted zones in Route 53, and vice-versa, without traversing the public internet.",2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,26,mcq,null,null,[0],m_26_2,medium,false
q_26_m_26_1_26,Which of the following is a stateful firewall that operates at the instance level within a VPC?,"[""Network Access Control List (NACL)"",""Security Group"",""VPC Flow Logs configuration"",""AWS Network Firewall, which inspects all traffic between subnets and provides advanced threat protection capabilities at a broader VPC scope.""]",Security Groups are stateful firewalls that control traffic to and from EC2 instances. NACLs are stateless and operate at the subnet level.,2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,26,mcq,null,null,[1],m_26_1,medium,false
q_26_m_26_3_26,A SysOps administrator needs to identify the source IP address and port of traffic being rejected by a security group for an EC2 instance. Which log source should be primarily consulted?,"[""AWS CloudTrail logs"",""ELB Access Logs"",""VPC Flow Logs"",""CloudWatch metrics for CPU utilization, which provide detailed performance data but not specific network connection information or rejection reasons.""]","VPC Flow Logs capture information about IP traffic going to and from network interfaces in your VPC, including accepted and rejected connections, source/destination IPs, and ports.",2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,26,mcq,null,null,[2],m_26_3,medium,false
q_26_m_26_2_27,How can you reduce latency for frequently accessed static content delivered to global users?,"[""Implement AWS Direct Connect to establish a dedicated network connection between your on-premises data center and your AWS VPCs for improved reliability."",""Deploy content to an S3 bucket in a single region and rely on S3's default availability."",""Configure an Application Load Balancer in multiple regions, distributing traffic to backend EC2 instances without specific content caching."",""Utilize Amazon CloudFront with appropriate caching policies at edge locations.""]","Amazon CloudFront is a content delivery network (CDN) that caches content at edge locations worldwide, serving it closest to users to reduce latency.",2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,27,mcq,null,null,[3],m_26_2,medium,false
q_26_m_26_1_27,"To establish a secure, private connection between an on-premises data center and a VPC over the public internet, which AWS service is suitable?","[""AWS Site-to-Site VPN"",""AWS Direct Connect"",""VPC Peering Connection"",""Amazon Route 53 Private Hosted Zones for internal DNS resolution across multiple accounts and regions, which is not a connectivity service.""]","AWS Site-to-Site VPN uses IPsec to establish a secure, encrypted connection over the public internet between your on-premises network and a VPC.",2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,27,mcq,null,null,[0],m_26_1,medium,false
q_26_m_26_3_27,Users are reporting stale content from a CloudFront distribution. What is the most direct action to force CloudFront to retrieve the latest content from the origin?,"[""Modify the origin server's security group settings."",""Invalidate the cached objects in CloudFront."",""Restart the EC2 instances behind the origin."",""Update the DNS records in Route 53 to point to a new CloudFront distribution endpoint or a different S3 bucket.""]",Invalidating cached objects in CloudFront forces edge locations to fetch the latest content from the origin the next time a request for that content is received.,2025-12-17 03:47:45.426243,quiz_domain26_5,2025-12-17 03:47:45.426243,27,mcq,null,null,[1],m_26_3,medium,false
