id,text,options,explanation,created_at,quiz_id,modified_at,index,type,pairs,matches,correct_answer,module_id,difficulty,is_deprecated
q_14_m_14_2_13,"Which AWS service is purpose-built for creating high-quality training datasets by providing human labelers for various data types, such as images and text?","[""Amazon Comprehend"",""AWS Ground Truth"",""Amazon Rekognition"",""AWS Textract""]",AWS Ground Truth is specifically designed for labeling data to create ground truth datasets for supervised machine learning.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,13,mcq,null,null,[1],m_14_2,medium,false
q_14_m_14_2_14,"An ML engineer needs to visually clean, transform, and prepare data using a low-code/no-code interface. Which AWS service is ideal for this task?","[""AWS Glue"",""Amazon EMR"",""AWS DataBrew"",""AWS Lambda""]",AWS DataBrew and SageMaker Data Wrangler are services that offer visual interfaces for data cleaning and transformation.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,14,mcq,null,null,[2],m_14_2,medium,false
q_14_m_14_2_15,How can an ML engineer transform and process streaming data in real-time before feeding it into a continuous ML pipeline?,"[""Using AWS Glue batch jobs"",""Utilizing AWS Lambda or Apache Spark"",""Storing in Amazon S3 for later processing"",""Manually cleaning data with Amazon Athena""]","Lambda and Spark are explicitly mentioned for transforming streaming data, enabling real-time processing within ML pipelines.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,15,mcq,null,null,[1],m_14_2,medium,false
q_14_m_14_3_21,A data scientist needs to detect potential biases in a training dataset before model deployment. Which AWS service is best suited for identifying bias in ML datasets?,"[""AWS Glue Data Quality"",""Amazon SageMaker Clarify"",""AWS Config"",""Amazon Macie""]",Amazon SageMaker Clarify is explicitly mentioned for detecting bias in ML datasets.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,21,mcq,null,null,[1],m_14_3,medium,false
q_14_m_14_1_2,"A data science team needs a centralized repository to store, share, and reuse curated features across multiple machine learning projects. Which SageMaker component fulfills this requirement?","[""SageMaker Ground Truth"",""SageMaker Studio"",""SageMaker Feature Store"",""SageMaker Data Wrangler""]","SageMaker Feature Store is used to store, share, and manage curated features for machine learning models.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,2,mcq,null,null,[2],m_14_1,medium,false
q_14_m_14_1_3,"An organization aims to store large analytical datasets efficiently in S3, optimizing for columnar reads and compression. Which data format is highly recommended for this purpose?","[""CSV"",""JSON"",""TXT"",""Parquet""]","Parquet is a columnar storage format optimized for analytical queries, offering efficient compression and predicate pushdown.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,3,mcq,null,null,[3],m_14_1,medium,false
q_14_m_14_1_4,"A machine learning pipeline requires combining data from various disparate sources, including relational databases and log files, into a unified dataset. Which AWS service is primarily used for merging these sources?","[""AWS Lambda"",""Amazon EC2"",""AWS Glue"",""Amazon Athena""]","AWS Glue is a serverless data integration service that makes it easy to discover, prepare, and combine data for analytics and machine learning.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,4,mcq,null,null,[2],m_14_1,medium,false
q_14_m_14_3_27,"To mitigate detected bias in a machine learning dataset, which two techniques are specifically mentioned in the module description for addressing this issue?","[""Data encryption and anonymization"",""Resampling and synthetic data generation"",""Feature scaling and normalization"",""Dataset splitting and shuffling""]",Resampling and synthetic data generation are explicit techniques mentioned for mitigating bias.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,27,mcq,null,null,[1],m_14_3,medium,false
q_14_m_14_3_28,An ML engineer wants to validate the quality of transformed data prior to model training. Which AWS service is explicitly mentioned for performing data quality checks?,"[""AWS Lambda"",""Amazon S3"",""AWS Glue Data Quality"",""Amazon Athena""]",AWS Glue Data Quality is specifically listed for validating data quality.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,28,mcq,null,null,[2],m_14_3,medium,false
q_14_m_14_3_29,"When dealing with sensitive PII and PHI data, what are essential data integrity steps to ensure compliance as per the module description?","[""Data augmentation and shuffling"",""Encryption, anonymization, and masking"",""Feature engineering and scaling"",""Dataset merging and formatting""]","Encryption, anonymization, and masking are crucial for handling PII/PHI data to ensure compliance.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,29,mcq,null,null,[1],m_14_3,medium,false
q_14_m_14_2_99,"When performing feature engineering, which of the following are common techniques for handling categorical variables? (Select TWO.)","[""Normalization"",""One-hot encoding"",""Imputation"",""Label encoding"",""Log transforms""]","Option B (One-hot encoding) converts categorical variables into a binary vector representation, which is widely used for nominal categories. Option D (Label encoding) assigns a unique integer to each category, suitable when there's an ordinal relationship. Option A (Normalization) and Option E (Log transforms) are for numerical data. Option C (Imputation) is for handling missing data.",2026-03-20 03:17:02.105065,quiz_domain14_3,2026-03-20 03:17:02.105065,38,multiple,null,null,"[1,3]",m_14_2,easy,false
q_14_m_14_3_30,"Before training a machine learning model, what fundamental steps involving dataset structure are mentioned to prepare the data?","[""Merging and cleaning"",""Ingesting and storing"",""Splitting, shuffling, and augmenting"",""Encoding and binning""]","Splitting, shuffling, and augmenting datasets are core preparation steps.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,30,mcq,null,null,[2],m_14_3,medium,false
q_14_m_14_1_26,A solution requires ingesting large volumes of streaming data for real-time analysis. Which AWS service is specifically mentioned for this purpose?,"[""Amazon S3"",""AWS EFS"",""Amazon Kinesis"",""AWS FSx""]",Amazon Kinesis is designed for ingesting and processing streaming data.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,26,mcq,null,null,[2],m_14_1,medium,false
q_14_m_14_1_27,"When choosing initial storage for machine learning data, which three key factors should an engineer consider, as per the module description?","[""Encryption, anonymity, and masking"",""Cost, performance, and data structure"",""Labeling, cleaning, and encoding"",""Scaling, normalizing, and binning""]","Cost, performance, and data structure are essential considerations for initial data storage choices.",2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,27,mcq,null,null,[1],m_14_1,medium,false
q_14_m_14_1_28,Which data format is commonly used for efficient analytical queries on structured data and is mentioned in the module description?,"[""JPG"",""MP4"",""Parquet"",""XML""]",Parquet is a columnar storage format optimized for analytical queries.,2025-11-19 03:53:20.321597,quiz_domain14_3,2025-11-19 03:53:20.321597,28,mcq,null,null,[2],m_14_1,medium,false
