question_id,mock_test_id,question_text,options,topic_id,question_order,question_type,explanation,correct_answer,pairs,matches,module_id,time_spent_seconds,created_at
570ee357-71a4-4d15-9a0d-61879210121b,mock_50_all_1775001536997,"A developer needs to monitor all inbound and outbound network traffic for a specific Amazon EC2 instance to detect unusual activity or potential security breaches. This monitoring should be non-intrusive and allow for deep packet inspection by a security appliance deployed in a separate subnet. The goal is to capture and redirect network traffic from a specific EC2 instance for out-of-band analysis, ensuring HIGH fidelity.","[""Utilize VPC Traffic Mirroring to send a copy of the network traffic to a dedicated Elastic Network Interface (ENI) for analysis."",""Enable VPC Flow Logs for the subnet containing the EC2 instance and export them to Amazon S3 for analysis."",""Install a third-party packet capture tool directly on the EC2 instance to log all network activity."",""Configure AWS Network Firewall to inspect traffic flowing to and from the EC2 instance.""]",52,8,mcq,"Option A (correct) is the ideal solution for this requirement. VPC Traffic Mirroring allows you to copy network traffic from an ENI of an EC2 instance and send it to a target ENI for out-of-band inspection by security and monitoring appliances. This provides full packet capture for deep analysis without impacting the EC2 instance's performance. Option B (incorrect) provides flow-level metadata, not full packet data, which is insufficient for deep packet inspection. Option C (incorrect) would add operational overhead, consume instance resources, and might not be non-intrusive. Option D (incorrect) is for filtering and blocking traffic based on rules, not for mirroring traffic for deep, out-of-band analysis by a separate appliance.",[0],null,null,m_52_2,null,2026-04-01 02:22:45.261679+00
92f0443a-828c-4794-a9cf-07df399f1a9f,mock_50_all_1775001536997,A developer needs to identify if network connectivity issues between an Amazon EC2 instance and a public internet endpoint are due to configuration errors within the VPC or external factors. The goal is to pinpoint potential network configuration issues affecting outbound internet connectivity with HIGH accuracy.,"[""Examine Amazon CloudWatch metrics for the EC2 instance's network performance."",""Analyze VPC Flow Logs to review accepted and rejected traffic to and from the EC2 instance."",""Use AWS Network Manager to monitor the health of the VPC and its connections."",""Perform a series of `curl` commands to various public endpoints from the EC2 instance.""]",52,9,mcq,"Option B (correct) is the most effective way to identify network configuration issues affecting outbound internet connectivity. VPC Flow Logs provide detailed records of IP traffic, showing if traffic is reaching the NAT Gateway/Internet Gateway and if it's being accepted or rejected by security groups or network ACLs. This helps pinpoint if the issue is within the VPC's routing or security configuration. Option A (incorrect) provides aggregate performance data but doesn't offer the granular detail to diagnose specific connectivity configuration problems. Option C (incorrect) is more suited for hybrid network management and global network visibility, not for diagnosing specific outbound connectivity issues from a single EC2 instance. Option D (incorrect) can confirm connectivity or lack thereof, but it doesn't provide insight into *why* the connection might be failing from a network configuration perspective.",[1],null,null,m_52_2,null,2026-04-01 02:22:45.261679+00
815ba42d-c0e5-473a-9877-6fb28a533b63,mock_50_all_1775001536997,A company has a hybrid cloud environment with AWS Direct Connect linking their on-premises data center to an Amazon VPC. Applications in the VPC are intermittently failing to connect to on-premises resources. The network team needs a centralized view of network topology and health across both environments to troubleshoot connectivity issues from a single console.,"[""Configure Amazon CloudWatch to collect metrics from all network interfaces and VPN connections."",""Analyze VPC Flow Logs from the VPC to identify rejected traffic to on-premises IP ranges."",""Implement AWS Network Manager to visualize the global network, including Direct Connect connections, VPNs, and VPCs."",""Use AWS Config to track changes to network resources and identify recent misconfigurations.""]",52,10,mcq,"Option C (correct) is designed for this exact scenario. AWS Network Manager provides a centralized management and monitoring solution for your global network across AWS and on-premises environments, including Direct Connect connections, Site-to-Site VPNs, and Transit Gateways. It offers a visual topology and health monitoring, which is crucial for troubleshooting hybrid connectivity issues from a single console. Option A (incorrect) would provide metrics but not a unified topology view or direct diagnostic capabilities for hybrid networks. Option B (incorrect) provides granular traffic data but doesn't offer a centralized, holistic view of the hybrid network's health and topology. Option D (incorrect) tracks configuration changes, which is useful for auditing, but not for real-time monitoring or visualizing network health and reachability.",[2],null,null,m_52_2,null,2026-04-01 02:22:45.261679+00
eaef118e-f5e8-48a0-ae46-6f7516902fb3,mock_50_all_1775001536997,"A developer needs to quickly verify that a newly configured security group rule on an Amazon EC2 instance allows specific inbound traffic from a known IP address range, without actually sending traffic or waiting for a connection attempt. The goal is to validate network access configurations proactively and efficiently.","[""Review the security group rules manually in the AWS Management Console."",""Examine VPC Flow Logs to see if any traffic from the IP range has been accepted."",""Use an external port scanner to test connectivity to the EC2 instance's public IP address."",""Utilize AWS Reachability Analyzer to simulate a path from the source IP to the EC2 instance and identify blocking rules.""]",52,11,mcq,"Option D (correct) is the most effective and proactive method. AWS Reachability Analyzer allows you to specify a source and destination, and it will analyze your network configurations (security groups, network ACLs, route tables) to determine if a path exists and, if not, which rule is blocking it. This provides a definitive answer without needing to generate actual traffic. Option A (incorrect) is a manual process prone to human error and doesn't confirm the effective path. Option B (incorrect) only shows past traffic, not proactive validation, and requires traffic to have already occurred. Option C (incorrect) is an external test that might not accurately reflect internal AWS network configurations and could be blocked by other layers before reaching the security group.",[3],null,null,m_52_2,null,2026-04-01 02:22:45.261679+00
a65cad49-2488-47f3-a2de-1dfaf2ac087d,mock_50_all_1775001536997,"A high-performance computing (HPC) application running on Amazon EC2 instances requires extremely low-latency, high-throughput network communication between instances within the same cluster. The application frequently transfers large datasets between nodes. The developer needs to maximize network performance and minimize inter-instance communication latency.","[""Deploy EC2 instances with Elastic Fabric Adapter (EFA) enabled in a cluster placement group."",""Utilize EC2 instances with Enhanced Networking (ENA) and ensure jumbo frames are configured."",""Place EC2 instances in different Availability Zones to maximize fault tolerance."",""Implement a software-defined networking (SDN) solution on the EC2 instances to optimize routing.""]",52,12,mcq,"Option A (correct) is the optimal solution for HPC workloads requiring extremely low-latency and high-throughput inter-instance communication. Elastic Fabric Adapter (EFA) is a network device that enables applications to achieve the performance of an on-premises HPC cluster, with lower and more consistent latency and higher throughput than traditional TCP networking. Using a cluster placement group ensures instances are launched in a single Availability Zone on hardware that supports low-latency network connectivity. Option B (incorrect) provides good network performance but ENA alone does not offer the same level of OS-bypass and MPI support as EFA for HPC. Jumbo frames help with throughput but not as much with latency for HPC. Option C (incorrect) would increase latency between instances, which is detrimental to HPC applications. Option D (incorrect) would add significant operational overhead and complexity without necessarily achieving the specialized hardware acceleration provided by EFA.",[0],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
673b02b5-0d08-4f1c-9a15-084f189b8edc,mock_50_all_1775001536997,A global gaming company is launching a new multiplayer game with servers hosted on Amazon EC2 instances in multiple AWS Regions. Players worldwide are experiencing high latency due to geographical distance. The company needs to improve the user experience by reducing latency for global users connecting to the game servers.,"[""Configure Amazon Route 53 with latency-based routing policies to direct users to the closest regional endpoint."",""Implement AWS Global Accelerator to direct user traffic to the optimal AWS Region over the AWS global network."",""Utilize Amazon CloudFront to cache static game assets closer to users at edge locations."",""Deploy a VPN connection from each user's device to the nearest AWS Region.""]",52,13,mcq,"Option B (correct) is designed to improve performance for global users by routing their traffic through the AWS global network, which is optimized for performance, to the nearest healthy application endpoint. Global Accelerator uses static IP addresses and intelligent routing to reduce latency for interactive applications like gaming. Option A (incorrect) helps direct users to the closest region, but the traffic still traverses the public internet for the initial connection, which can introduce latency. Global Accelerator enhances this by using the AWS backbone. Option C (incorrect) is for caching static content and is not suitable for dynamic, interactive game traffic. Option D (incorrect) is impractical and unmanageable for a large number of global users and would introduce significant overhead.",[1],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
3b7126e2-f334-4bb0-a6d4-e99580729644,mock_50_all_1775001536997,A developer is designing a new application that will be deployed on Amazon EC2 instances. The application performs intensive network I/O operations and needs to achieve the highest possible network throughput. The developer needs to select an EC2 instance configuration that provides the BEST network performance.,"[""Choose an EC2 instance type that supports multiple Elastic Network Interfaces (ENIs)."",""Ensure the EC2 instance is launched in a placement group for network optimization."",""Select an EC2 instance type that supports Enhanced Networking (ENA) and ensure it is enabled."",""Configure the EC2 instance with a public IP address to bypass NAT Gateway overhead.""]",52,14,mcq,"Option C (correct) is crucial for achieving high network throughput on EC2 instances. Enhanced Networking (ENA) uses single root I/O virtualization (SR-IOV) to provide high-performance networking capabilities, significantly increasing packet per second (PPS) performance and reducing latency. Option A (incorrect) allows for multiple network interfaces, which can help with network segmentation, but doesn't inherently maximize the throughput of a single connection or instance. Option B (incorrect) helps ensure instances are physically close for low latency, but ENA is the underlying technology for high throughput. Option D (incorrect) is about internet connectivity, not about maximizing internal network throughput, and would expose the instance to the public internet.",[2],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
2d5ffcd5-7082-4e35-9c27-cc00d0e08da5,mock_50_all_1775001536997,"A developer needs to optimize data transfer costs for an application that serves static content (images, videos) to a global user base. The content is stored in Amazon S3. The primary goal is to reduce data transfer out costs and improve content delivery speed for global users.","[""Implement Amazon S3 Transfer Acceleration for faster uploads to S3."",""Use AWS Global Accelerator to route user requests to the nearest S3 bucket."",""Configure Amazon Route 53 with geolocation routing to direct users to the closest S3 bucket."",""Deploy Amazon CloudFront in front of the Amazon S3 bucket to cache content at edge locations.""]",52,15,mcq,"Option D (correct) is the most effective solution for reducing data transfer out costs from Amazon S3 and improving content delivery speed for a global user base. Amazon CloudFront caches content at edge locations worldwide, serving requests closer to users, which significantly reduces latency and minimizes the amount of data transferred directly from S3, thus lowering costs. Option A (incorrect) is for accelerating uploads to S3, not for optimizing content delivery to end-users or reducing data transfer out costs. Option B (incorrect) is primarily for accelerating dynamic application traffic to EC2 instances or ALBs, not typically for serving static content directly from S3 with cost optimization in mind. Option C (incorrect) can direct users to the closest S3 bucket, but the content is still served directly from S3, incurring standard S3 data transfer costs and not benefiting from edge caching.",[3],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
fbc89a5c-1498-4933-a0df-ec579b6dc569,mock_50_all_1775001536997,A critical application running on Amazon EC2 instances requires high availability and automatic failover in case of an instance or Availability Zone failure. The application uses a custom health check to determine instance health. The developer needs to ensure continuous application availability through automated health checks and traffic routing.,"[""Configure Amazon Route 53 health checks with DNS failover to redirect traffic to healthy instances or regions."",""Deploy an Application Load Balancer (ALB) with health checks configured for the EC2 instances in an Auto Scaling group."",""Implement a custom script on each EC2 instance to monitor its health and manually update DNS records upon failure."",""Use AWS Systems Manager to monitor instance health and automatically restart failed instances.""]",52,16,mcq,"Option B (correct) is the most common and effective pattern for achieving high availability with automatic failover for applications on EC2 instances. An Application Load Balancer (ALB) distributes incoming application traffic across multiple targets, such as EC2 instances, in multiple Availability Zones. It continuously monitors the health of its registered targets and routes traffic only to healthy instances, automatically failing over when an instance or AZ becomes unhealthy, especially when combined with an Auto Scaling group. Option A (incorrect) can provide DNS failover, but it operates at the DNS level and typically has higher failover times than an ALB, and it doesn't manage instance scaling. Option C (incorrect) is a manual and error-prone approach that does not scale and introduces significant operational overhead. Option D (incorrect) can manage and restart instances, but it doesn't handle traffic routing or provide immediate failover for application-level health issues like an ALB does.",[1],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
bc023130-9f56-4dbc-aac7-f1175bfa72a6,mock_50_all_1775001536997,"A developer is deploying a new database on Amazon EC2 instances that will handle large transactions. To minimize network overhead and maximize payload efficiency for internal VPC communication, the network configuration needs optimization. The developer needs to optimize network efficiency for large data transfers between instances within the same VPC.","[""Enable Enhanced Networking (ENA) on the EC2 instances."",""Configure Jumbo Frames (MTU of 9001) on the EC2 instances' operating systems."",""Utilize Elastic Fabric Adapter (EFA) for inter-instance communication."",""Place the EC2 instances in different subnets to distribute network load.""]",52,17,mcq,"Option B (correct) is the most effective way to optimize network efficiency for large data transfers between instances within the same VPC. Jumbo frames allow a larger payload per packet (up to 9001 bytes), which reduces the number of packets needed for large data transfers, thereby decreasing CPU utilization and network overhead. This is particularly beneficial for database replication or large file transfers. Option A (incorrect) provides high-performance networking but doesn't specifically address payload efficiency for large transfers in the same way jumbo frames do. Option C (incorrect) is designed for HPC workloads requiring extremely low-latency, OS-bypass communication, which is typically overkill and not the primary optimization for general large data transfers. Option D (incorrect) is for network segmentation and fault tolerance, not for optimizing network efficiency or throughput between instances.",[1],null,null,m_52_3,null,2026-04-01 02:22:45.261679+00
